feature,importance
ECFP4_984,0.06977721935174397
RDKit_848,0.059963194864759935
RDKit_1561,0.05978396886764504
RDKit_1398,0.0590626012955601
RDKit_281,0.052557669365293574
RDKit_442,0.04233360999209253
MACCS_66,0.03802642269339712
RDKit_1041,0.037210650377435414
RDKit_756,0.03522654354172162
ECFP4_1984,0.034608210038841875
RDKit_105,0.02953080409806208
RDKit_119,0.029327686491834006
RDKit_1851,0.02893580053644919
RDKit_115,0.028827640698315376
RDKit_1316,0.028359077963530096
RDKit_84,0.02808697634701287
RDKit_969,0.027641967129962423
ECFP4_199,0.027286444709247123
RDKit_1524,0.027265843966405672
RDKit_1207,0.025684342642551244
RDKit_1018,0.025447074321309545
RDKit_1906,0.025183616535564144
RDKit_1789,0.024112313099852206
ECFP4_966,0.024096563971613562
RDKit_213,0.0234655196873388
ECFP4_1409,0.023347361066607206
RDKit_58,0.023307174812252716
RDKit_1455,0.023112971928666546
RDKit_1747,0.022828069331827176
RDKit_631,0.022572484988631885
RDKit_1634,0.021912962823249577
RDKit_407,0.02185454710776982
RDKit_408,0.021726199061211784
ECFP4_211,0.02164432846837456
RDKit_1924,0.021478494123239652
RDKit_54,0.021310984907409333
RDKit_938,0.02125536372544844
RDKit_528,0.020644339413378444
ECFP4_494,0.020492577134852773
RDKit_537,0.020434451931172003
RDKit_181,0.020311671528902935
RDKit_693,0.020193881534266454
RDKit_214,0.02010332396163597
RDKit_1056,0.01953241254940929
RDKit_1530,0.019212967139105898
RDKit_1331,0.01876677764498881
RDKit_1209,0.018633378303265002
RDKit_1381,0.017891391711870857
RDKit_1347,0.017823527324572735
RDKit_297,0.017629778805480844
RDKit_136,0.017615191112245392
RDKit_353,0.017594949937750983
RDKit_1035,0.017559739804982523
RDKit_634,0.016701070423000824
ECFP4_1087,0.016644799578115665
RDKit_1404,0.016603294434623838
RDKit_1624,0.016084721400260633
RDKit_681,0.015942838628970266
RDKit_1661,0.015557550712342386
RDKit_810,0.015541538539655739
RDKit_1437,0.015152497128094088
RDKit_1829,0.014815666969569033
ECFP4_1162,0.01450482749916736
RDKit_1930,0.014352697044597273
RDKit_1508,0.014228785008846608
ECFP4_43,0.014207456741600857
RDKit_834,0.01419424565799253
RDKit_70,0.014153598873259466
RDKit_862,0.01411623339710309
RDKit_568,0.013996390940698997
MACCS_95,0.01394367714830305
RDKit_259,0.013748354164163165
RDKit_691,0.013623369673428866
RDKit_212,0.013496171218608858
RDKit_661,0.013373117712278133
ECFP4_282,0.013273007623694641
RDKit_1385,0.013156043221669208
RDKit_403,0.013112431081861173
RDKit_333,0.012874872781176718
ECFP4_1060,0.012835434285200842
RDKit_1713,0.012812475247285982
ECFP4_1028,0.012653052045717622
RDKit_348,0.012318971241407451
RDKit_332,0.012316032320292557
RDKit_346,0.01213824934923729
RDKit_904,0.011945073619909461
RDKit_1701,0.01188278470014904
RDKit_2035,0.011746548398316023
RDKit_192,0.011717416217377548
RDKit_1267,0.011611419311298983
