Ligand_name,Status,Is_active,Best_affinity_kcal_mol,Label,Formula,MW_Da,LogP,HBD,HBA,RotB,TPSA_A2,Runtime_s
CHEMBL6028889,SUCCESS,1,-5.665,active,C37H46FN7O4+2,671.358,2.823,3.0,8.0,12.0,121.96,268.29
CHEMBL6022871,SUCCESS,1,-5.368,active,C32H35FN6O2+2,554.279,1.298,3.0,6.0,7.0,92.42,139.03
CHEMBL5828205,SUCCESS,1,-6.418,active,C36H44FN7O4+2,657.343,2.481,4.0,8.0,11.0,130.75,231.08
CHEMBL5835902,SUCCESS,1,-5.371,active,C28H35FN6OS+2,522.257,2.057,2.0,6.0,7.0,72.19,68.53
CHEMBL6004770,SUCCESS,1,-5.887,active,C26H28ClFN6O+2,494.199,2.561,2.0,5.0,7.0,95.39,64.29
CHEMBL5954685,SUCCESS,1,-6.244,active,C28H34ClFN6O2+2,540.24,1.997,2.0,6.0,7.0,81.42,76.17
CHEMBL5963446,SUCCESS,1,-6.294,active,C29H37FN6O2+2,520.295,1.652,2.0,6.0,8.0,81.42,79.6
CHEMBL6042399,SUCCESS,1,-6.227,active,C36H44FN7O3+2,641.348,2.776,3.0,7.0,10.0,110.52,211.89
CHEMBL5829922,SUCCESS,1,-5.679,active,C37H45F2N7O4+2,689.349,2.963,3.0,8.0,12.0,121.96,292.07
CHEMBL5768450,SUCCESS,1,-6.686,active,C28H34F2N6O+2,508.275,1.783,2.0,5.0,6.0,72.19,67.42
CHEMBL5798338,SUCCESS,1,-5.942,active,C29H32ClFN6O2+2,550.225,2.281,2.0,6.0,7.0,93.59,99.43
CHEMBL6001924,SUCCESS,1,-6.004,active,C31H39FN6O+2,530.316,2.459,2.0,5.0,7.0,72.19,93.62
CHEMBL5888364,SUCCESS,1,-6.198,active,C31H39FN6O+2,530.316,2.459,2.0,5.0,7.0,72.19,86.16
CHEMBL5870307,SUCCESS,1,-6.847,active,C28H33FN6O2+2,504.264,1.516,3.0,6.0,10.0,92.42,93.09
CHEMBL5913499,SUCCESS,1,-7.771,active,C30H34ClFN6O2+2,564.24,2.233,2.0,6.0,8.0,81.42,112.72
CHEMBL6013556,SUCCESS,1,-6.159,active,C32H35ClF2N6O2+2,608.247,2.715,2.0,6.0,7.0,81.42,111.42
CHEMBL5803462,SUCCESS,1,-6.691,active,C33H38F2N6O2+2,588.301,2.583,2.0,6.0,8.0,81.42,123.49
CHEMBL5985025,SUCCESS,1,-5.795,active,C31H39FN6O+2,530.316,2.459,2.0,5.0,7.0,72.19,96.0
CHEMBL5934017,SUCCESS,1,-6.806,active,C29H34F2N8O+2,548.281,1.468,3.0,6.0,6.0,100.87,82.99
CHEMBL5961984,SUCCESS,1,-8.139,active,C30H34ClFN6O2+2,564.24,2.233,2.0,6.0,8.0,81.42,116.77
CHEMBL5985734,SUCCESS,1,-5.915,active,C28H35FN6O2+2,506.279,1.349,3.0,6.0,7.0,92.42,63.79
CHEMBL5938991,SUCCESS,1,-6.831,active,C32H36ClFN6O+2,574.261,3.45,2.0,5.0,6.0,72.19,98.57
CHEMBL4876243,SUCCESS,1,-6.79,active,C32H36F2N6O3+2,590.281,1.958,3.0,7.0,8.0,101.65,144.25
CHEMBL5418527,SUCCESS,1,-6.292,active,C27H32ClF4N7O+2,581.228,2.364,3.0,6.0,8.0,98.21,95.02
CHEMBL5889261,SUCCESS,1,-6.196,active,C32H36F2N6O2S+2,606.258,2.864,3.0,7.0,8.0,92.42,123.94
CHEMBL5884483,SUCCESS,1,-5.62,active,C32H39FN6O3+2,574.306,2.067,3.0,7.0,10.0,101.65,146.71
CHEMBL5424715,SUCCESS,1,-5.657,active,C26H32ClF4N7O+2,569.228,2.222,3.0,6.0,9.0,98.21,98.39
CHEMBL5810384,SUCCESS,1,-6.285,active,C29H35FN8O+2,530.291,1.52,3.0,6.0,6.0,100.87,76.93
CHEMBL5897986,SUCCESS,1,-6.038,active,C31H37ClF2N6O2+2,598.262,2.766,3.0,6.0,8.0,92.42,123.19
