mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.038861989974975586,0.004259590724672493,0.027225494384765625,0.009870728985980053,0.1,0.01,scale,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale'}",-1.4333886573575942,-0.5598398964779271,-0.3123645940764874,-0.7493428585693437,-1.3473417895770785,-0.8804555592116863,0.4396430486788609,44,-0.6138589529326186,-0.6174524121870943,-0.6555803761972747,-0.627438418339554,-0.6134315654187226,-0.6255523450150529,0.01583980781133203
0.03597469329833984,0.002211849100336788,0.032828140258789065,0.017801303561309153,0.1,0.01,auto,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto'}",-1.627657319871075,-0.6258821818619782,-0.31776645411075943,-0.8581967164007068,-1.4930816418091446,-0.9845168628107327,0.5022747262634935,46,-0.7378278577853745,-0.8594636966127206,-0.9123029496934799,-0.8240584717080126,-0.7965849746117962,-0.8260475900822767,0.05867085597827473
0.04293909072875977,0.007464345639556669,0.019388961791992187,0.002416257728058601,0.1,0.01,0.01,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 0.01}",-1.4314184299676538,-0.559816838754297,-0.31235930494024455,-0.7495683174478535,-1.345996750115225,-0.8798319282450547,0.4388532223949068,43,-0.6138437193119994,-0.6174403968494803,-0.6555785589550471,-0.6273673199287498,-0.6134541442879003,-0.6255368278666353,0.015837477913656542
0.03381433486938477,0.0043034906375315546,0.02672405242919922,0.021694339103208372,0.1,0.01,0.1,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 0.1}",-2.3006905166444542,-0.8424110793182508,-0.4132576330668437,-1.1787486203300013,-1.9703264071804385,-1.3410868513079977,0.7003827379697952,62,-0.9189535083130327,-1.1785405049438025,-1.2647317242925924,-1.0906346113107535,-1.027688471883108,-1.096109764148658,0.119435323071864
0.03166475296020508,0.005383315823883629,0.02632627487182617,0.016312465933127566,0.1,0.1,scale,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale'}",-1.4091496596506772,-0.564923522772422,-0.3190014216018801,-0.7585518698954028,-1.3185945981822067,-0.8740442144205177,0.42448308958695874,42,-0.6132051332771915,-0.6197861732106458,-0.6536418947755441,-0.6273038426850479,-0.6093462411553504,-0.6246566570207559,0.015725262746348362
0.02836947441101074,0.0026757159261692615,0.016524219512939455,0.001899533596648685,0.1,0.1,auto,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'auto'}",-1.647827602373069,-0.6280261029155579,-0.32255222808778944,-0.8683893786445293,-1.4816051753854784,-0.9896800974812848,0.5031327985431114,48,-0.7494303515480092,-0.8639961738980338,-0.8969306523554396,-0.8300625796951879,-0.7946064599037828,-0.8270052434800906,0.05164258723147116
0.034443902969360354,0.007679564071191117,0.018563556671142577,0.00860271078677005,0.1,0.1,0.01,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.01}",-1.4062746308545937,-0.5648449095238683,-0.3189982465602507,-0.7587401598724717,-1.318755400528621,-0.8735226694679611,0.4237950346012348,41,-0.6130458251922912,-0.6197531545127378,-0.6536485624851235,-0.6272855428903747,-0.6097394291724706,-0.6246945028505995,0.015676823027060124
0.029171228408813477,0.00209966473706544,0.01627655029296875,0.002778570113672475,0.1,0.1,0.1,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1}",-2.2853612369090563,-0.8468163020673726,-0.4177586539633837,-1.1897899610726912,-1.9967528869547269,-1.347295808193446,0.6987257537443551,64,-0.9163495153289459,-1.1675133143037961,-1.2576500326293467,-1.0807120431842165,-1.0355898057974453,-1.0915629422487503,0.11602056679233991
0.04398984909057617,0.03373985470317758,0.01609349250793457,0.001891292361418739,0.1,0.2,scale,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale'}",-1.4040280631061117,-0.5641530073537603,-0.3118430664028392,-0.7555335007365429,-1.3039956801525348,-0.8679106635503577,0.4223033319378129,40,-0.6156127142384307,-0.6255823985348631,-0.6506412215419166,-0.6296889846657715,-0.6059878175657099,-0.6255026273093384,0.015020779282277796
0.025493288040161134,0.0029426398697404094,0.014015960693359374,0.001045987325194711,0.1,0.2,auto,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'auto'}",-1.63355731602825,-0.6285432866220966,-0.31610075897718387,-0.8632314067629119,-1.5010805725555052,-0.9885026681891895,0.5052167019354731,47,-0.7473185704315747,-0.8694523274278141,-0.8995784742568304,-0.8395412766269396,-0.8002870402792356,-0.8312355378044789,0.053291898411609244
0.03339710235595703,0.012426549954932536,0.015086126327514649,0.0029481096677252206,0.1,0.2,0.01,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.01}",-1.4010781881388652,-0.5641418769865763,-0.31184188411346203,-0.7557928899327777,-1.3035622211437736,-0.867283412063091,0.4214537412345746,39,-0.6153249381287231,-0.6255780228227462,-0.6506398087016703,-0.6296872874769863,-0.6062798576677861,-0.6255019829595824,0.01498329190282696
