Model,Train+Val R²,Test R²,Test RMSE,Test MAE
Random Forest (FP) - Baseline,0.8846870417599828,0.5598683849305361,0.8422094140040617,0.6135676787451421
Random Forest (FP) - Optimized,0.9592062170535668,0.5492901524995216,0.8522702567328926,0.6220750543202969
SVR - Baseline,0.8876689817424228,0.542026178702854,0.8591107148422803,0.6077015736076488
SVR - Optimized,0.8660328380611872,0.5745119710506136,0.8280803548828019,0.6054874392761069
