mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.35191073417663576,0.013878263534542459,0.006257343292236328,0.0010603706379622266,0.3,0.03,3,300,0.6,"{'colsample_bytree': 0.3, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.6}",-0.6418558003982893,-0.3371847013777018,-0.26370925038458726,-0.29493139924387757,-0.6140122693171155,-0.43033868414431425,0.16325050803173966,3,-0.08011474637667233,-0.10356091992486471,-0.10867737968861162,-0.10196644164121683,-0.10071139792245282,-0.09900617711076366,0.009826850367154529
0.34207611083984374,0.03023910385438676,0.017853641510009767,0.011589612743318083,0.3,0.03,3,300,0.8,"{'colsample_bytree': 0.3, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",-0.6343108347412523,-0.3762701795135623,-0.24740563436946908,-0.2947768707624076,-0.6418384036298642,-0.4389203846033111,0.16776975340512904,15,-0.0796841803950081,-0.0966767135840345,-0.10359236483015008,-0.09818372977548474,-0.09232161807174351,-0.09409172133128417,0.00805480535241713
0.32979846000671387,0.014337863339784531,0.01580958366394043,0.011754304707145368,0.3,0.03,3,300,1.0,"{'colsample_bytree': 0.3, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-0.6194912230952359,-0.38082726341264383,-0.2718409999039814,-0.3124187998005106,-0.6561454249951575,-0.44814474224150586,0.1591603496455884,46,-0.08771129907246861,-0.11340489544638466,-0.12225857735841301,-0.10974194191411843,-0.09958953047060068,-0.10654124885239709,0.011893543569373796
0.8345384120941162,0.08985015620539061,0.006291246414184571,0.0004502000295978649,0.3,0.03,3,800,0.6,"{'colsample_bytree': 0.3, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 800, 'subsample': 0.6}",-0.6521913884432711,-0.3436843867966321,-0.2892802203867873,-0.28295737054750386,-0.5695925464455777,-0.42754118252395445,0.15342675095170036,1,-0.02809254560958464,-0.03839802345492449,-0.0377905953558711,-0.03584708381825847,-0.037021680008184905,-0.03542998564936472,0.003766356721115158
0.8830743312835694,0.08050116735066418,0.005911397933959961,0.0002903360942078688,0.3,0.03,3,800,0.8,"{'colsample_bytree': 0.3, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 800, 'subsample': 0.8}",-0.6548885357157755,-0.38773609821550264,-0.2774954650195304,-0.28762815955942567,-0.6045950778779456,-0.442468667277636,0.1584894746860402,25,-0.027590037093125647,-0.03699164595518898,-0.03655658567580358,-0.03419989764482703,-0.03616115349283482,-0.034299863972356015,0.0034881127213678646
0.7220083236694336,0.041725552016341906,0.007106399536132813,0.0016432954210818572,0.3,0.03,3,800,1.0,"{'colsample_bytree': 0.3, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 800, 'subsample': 1.0}",-0.6280165265220828,-0.3672053075603061,-0.28376967972613715,-0.3119874715021164,-0.6527218328348423,-0.448740163629097,0.1589421453116898,51,-0.03722726519961159,-0.04769360839137379,-0.047690749057082045,-0.045073480685437935,-0.04352171267767585,-0.04424136320223624,0.00385289882543798
2.1229176044464113,0.17166080503092965,0.010252237319946289,0.0007353437060879443,0.3,0.03,3,2000,0.6,"{'colsample_bytree': 0.3, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 2000, 'subsample': 0.6}",-0.6879081341417201,-0.3548533855115265,-0.3134433758289217,-0.28628815242434785,-0.5761662553233055,-0.44373186064596437,0.15926325081985804,31,-0.009361695900951041,-0.01311680850314302,-0.012698603744301285,-0.009176911626037223,-0.011629721937092656,-0.011196748342305045,0.0016478364376617362
1.992894220352173,0.1731396320640494,0.010890865325927734,0.0016649459122332093,0.3,0.03,3,2000,0.8,"{'colsample_bytree': 0.3, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 2000, 'subsample': 0.8}",-0.6762906404754325,-0.3952634730676314,-0.3052137087634706,-0.2873708724397043,-0.610989065740194,-0.45502555209728646,0.15962834524415717,85,-0.009048199658468578,-0.012607548835173997,-0.011758945401532333,-0.008562202700787138,-0.011025111828964417,-0.010600401684985291,0.0015565878171416494
1.992474412918091,0.22679978447643576,0.010118722915649414,0.0011302474087935778,0.3,0.03,3,2000,1.0,"{'colsample_bytree': 0.3, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 2000, 'subsample': 1.0}",-0.6743579057196044,-0.37674883296618594,-0.3297705076885172,-0.3250108519990256,-0.6738480944077391,-0.47594723855621446,0.16280128666364993,190,-0.011463720395700205,-0.014089980049108256,-0.013090780458729218,-0.010404783421662445,-0.013983736051895245,-0.012606600075419075,0.001448138172047391
0.4407386779785156,0.0681604101652024,0.005504512786865234,0.0016422810764415926,0.3,0.03,4,300,0.6,"{'colsample_bytree': 0.3, 'learning_rate': 0.03, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.6}",-0.6404912610837816,-0.3530044121983613,-0.2837585393267565,-0.2837997402786295,-0.5943320542968804,-0.4310772014368819,0.15491623191309253,5,-0.04446950947812267,-0.05677242176820584,-0.059409629819216624,-0.05739368788678879,-0.05878462940131615,-0.05536597567073002,0.005529213599511548
