mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.38787055015563965,0.026979473104055823,0.11424069404602051,0.020617964092110627,10,sqrt,1,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.5390684942155932,-0.3307546940786001,-0.23059009243162118,-0.5902796546453958,-0.9165237401303391,-0.5214433351003098,0.2375269997901888,11,-0.06621354992065889,-0.06590731060699584,-0.06746041604787636,-0.06720459351246044,-0.07134174047439752,-0.06762552211247781,0.0019473384944785805
0.9423015594482422,0.02641293821384899,0.173329496383667,0.015480027472719749,10,sqrt,1,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.5267825352820225,-0.3163033401683004,-0.22929375145193392,-0.577382120325188,-0.8640794995918546,-0.5027682493638599,0.2219221478711838,3,-0.06486964141926452,-0.06465091659735703,-0.06721764004740513,-0.06487515334947143,-0.06965212752701541,-0.0662530957881027,0.001942339409289028
0.3788003921508789,0.0066152060459203224,0.12345185279846191,0.027007693327498104,10,sqrt,1,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.5771287676492228,-0.3110789199042498,-0.2407216344405994,-0.5808234606578634,-0.9242332665149724,-0.5267972098333815,0.24157033596333483,12,-0.10438444862857173,-0.1089947416100745,-0.1091856758048622,-0.10107468313175919,-0.10562000458742085,-0.10585191075253768,0.0030338261162633808
0.87498459815979,0.04742502653370125,0.22402563095092773,0.0275462591776061,10,sqrt,1,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.5503238499800883,-0.30078363137234365,-0.23964868720837973,-0.5963938718486685,-0.8455626378392636,-0.5065425356497488,0.21840043443871404,5,-0.1018972299056251,-0.10424929389040027,-0.10711416114696355,-0.09965892779943494,-0.10234614420333593,-0.10305315138915194,0.002501172706959656
0.47271060943603516,0.03999036751478872,0.17764477729797362,0.03046038659325195,10,sqrt,3,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",-0.6399971828474553,-0.33219121351797193,-0.2551828190824937,-0.6789180190969635,-0.9006666468754606,-0.561391176284069,0.23723216010755707,31,-0.17190060872543966,-0.17803904273918603,-0.18702150956780822,-0.17422115076611516,-0.18090620868665258,-0.17841770409704033,0.005299907547063566
0.9524257183074951,0.031085141123609536,0.14224629402160643,0.02615034736424141,10,sqrt,3,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}",-0.6364435578670357,-0.3184171368103179,-0.24959726190122997,-0.7082742677637852,-0.8502089404932393,-0.5525882329671216,0.23086254495515549,25,-0.17288872079561654,-0.17574031767479445,-0.1846561502881737,-0.17549809632093077,-0.17808483141854742,-0.1773736232996126,0.003996014402119584
0.5295884132385253,0.03576191640093347,0.12569837570190429,0.026241302765079456,10,sqrt,3,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 100}",-0.6399971828474558,-0.33219121351797176,-0.25518281908249363,-0.6789180190969637,-0.9006666468754618,-0.5613911762840693,0.23723216010755754,32,-0.17190060872543964,-0.17803904273918608,-0.18702150956780828,-0.174221150766115,-0.18090620868665241,-0.17841770409704028,0.0052999075470636006
0.9243802070617676,0.05367201398517002,0.13896050453186035,0.016882902821570487,10,sqrt,3,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 200}",-0.6364435578670368,-0.3184171368103183,-0.2495972619012299,-0.7082742677637857,-0.8502089404932386,-0.5525882329671219,0.2308625449551554,26,-0.17288872079561662,-0.1757403176747945,-0.18465615028817386,-0.17549809632093075,-0.17808483141854756,-0.17737362329961265,0.003996014402119629
0.48575100898742674,0.06502013227297668,0.11658878326416015,0.02826060803253982,10,log2,1,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.615211982911799,-0.33844263906167577,-0.273411698773764,-0.6099000657930508,-0.8923770990609788,-0.5458686971202537,0.22191663551148857,19,-0.0769744784224285,-0.07477670319892732,-0.07589452174069013,-0.07640398325293206,-0.07763845419425672,-0.07633762816184694,0.0009731351046434087
0.9204398632049561,0.06437492906565127,0.1327277183532715,0.009428712869432265,10,log2,1,2,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.5857072930153613,-0.3292245565176361,-0.263425621982701,-0.5856635521523919,-0.8853692682697798,-0.529878058387574,0.22084458505292162,14,-0.07536940719460697,-0.07350564120622632,-0.07617880597947255,-0.07381770820926283,-0.07593124963109174,-0.07496056244413207,0.0010969427119941297
