mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lambda_l1,param_lambda_l2,param_learning_rate,param_min_data_in_leaf,param_n_estimators,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.19042601585388183,0.044719501617737564,0.018673515319824217,0.009502607452276858,0.0,0.0,0.01,5,50,15,"{'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.01, 'min_data_in_leaf': 5, 'n_estimators': 50, 'num_leaves': 15}",-1.186544609527104,-0.5062033454076184,-0.44270742261770585,-1.0745024291273695,-1.2336912462773584,-0.8887298105914312,0.3427728050803032,677,-0.5437127507662864,-0.6640769780509492,-0.6844102564492491,-0.5974135337167316,-0.5637207425721388,-0.610666852311071,0.055051195395719656
0.27062225341796875,0.03763420650836977,0.01098337173461914,0.003955516572539685,0.0,0.0,0.01,5,50,31,"{'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.01, 'min_data_in_leaf': 5, 'n_estimators': 50, 'num_leaves': 31}",-1.101825530717988,-0.49264706069012715,-0.4433961357538858,-1.05680620006035,-1.2663454946019828,-0.8722040843648667,0.33766586798817405,656,-0.507074610632003,-0.6261642537206652,-0.6390755742427977,-0.547842038020333,-0.524080638271738,-0.5688474229775075,0.05381149295781524
0.40807600021362306,0.03988287551654906,0.013802051544189453,0.008945667634635203,0.0,0.0,0.01,5,50,63,"{'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.01, 'min_data_in_leaf': 5, 'n_estimators': 50, 'num_leaves': 63}",-1.1049013039440154,-0.4963765982879574,-0.4402952913539587,-1.0529446363962154,-1.2385815934502538,-0.8666198846864802,0.3312652141873229,652,-0.5018022585553088,-0.6211162348460066,-0.6335640841906299,-0.541896772878127,-0.5198654806459225,-0.5636489662231989,0.053676396036507805
0.2829007148742676,0.026004056967127702,0.009994268417358398,0.006160589456658686,0.0,0.0,0.01,5,100,15,"{'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.01, 'min_data_in_leaf': 5, 'n_estimators': 100, 'num_leaves': 15}",-0.8229531738041761,-0.41222575929174676,-0.37395112586923906,-0.8531407708714469,-0.9195048769075623,-0.6763551413488342,0.23370000208464073,603,-0.2904073687033257,-0.3470916349689428,-0.36323414782538904,-0.32369584810140695,-0.31032827556009535,-0.326951455031832,0.02586294632121854
0.4262577533721924,0.03331487787706738,0.010099315643310547,0.006927007194424883,0.0,0.0,0.01,5,100,31,"{'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.01, 'min_data_in_leaf': 5, 'n_estimators': 100, 'num_leaves': 31}",-0.760294697110659,-0.40638456979852944,-0.3961888123682056,-0.8672803743955069,-0.9481891207424687,-0.675667514883074,0.23184776179005726,601,-0.24947236307048598,-0.30104206944466055,-0.30092475837306176,-0.26371753800182296,-0.2570172005144455,-0.27443478588089537,0.022140552910634544
0.6519488334655762,0.038732979367632224,0.01629772186279297,0.009521093809226323,0.0,0.0,0.01,5,100,63,"{'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.01, 'min_data_in_leaf': 5, 'n_estimators': 100, 'num_leaves': 63}",-0.7574481147539369,-0.40866407850331515,-0.40463705165924213,-0.8634603901963911,-0.9275699906623155,-0.6723559251550401,0.22365267793553617,592,-0.24326094614540572,-0.29382948418966665,-0.2950772237464811,-0.2558205731861811,-0.2491973118025776,-0.26743710781406244,0.022417200395408277
0.48346762657165526,0.0358907113569123,0.013753175735473633,0.00862169758644805,0.0,0.0,0.01,5,200,15,"{'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.01, 'min_data_in_leaf': 5, 'n_estimators': 200, 'num_leaves': 15}",-0.602339215227369,-0.39835801943737104,-0.31642275255350083,-0.6121881737720818,-0.8319040069179163,-0.5522424335816478,0.18088952970025626,546,-0.12395376752100665,-0.13883505887386435,-0.14611411217785705,-0.13112126452217698,-0.13109471655958224,-0.13422378393089746,0.007583319705448568
0.8202382087707519,0.03808399759241681,0.009340810775756835,0.002830622892626261,0.0,0.0,0.01,5,200,31,"{'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.01, 'min_data_in_leaf': 5, 'n_estimators': 200, 'num_leaves': 31}",-0.5459933543214707,-0.4082136059795956,-0.3527536216380043,-0.6982609995828432,-0.8345626857605913,-0.567956853456501,0.17909247427523012,557,-0.08481841588221736,-0.09596858729721831,-0.09240822359157738,-0.08186131448902191,-0.08958128785097137,-0.08892756582220127,0.005078096799845343
1.1530410766601562,0.031057432547807105,0.008730554580688476,0.002895751590355008,0.0,0.0,0.01,5,200,63,"{'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.01, 'min_data_in_leaf': 5, 'n_estimators': 200, 'num_leaves': 63}",-0.5472831433476681,-0.4006785559584719,-0.3649118574505986,-0.6855821255548309,-0.8229265638648389,-0.5642764492352816,0.1722871048525107,556,-0.07946446960712311,-0.08801628564832141,-0.08760099146185488,-0.07746513173310869,-0.08258366952306916,-0.08302610959469546,0.004234073890232883
0.15324649810791016,0.008005266596198393,0.009125661849975587,0.004272016113085512,0.0,0.0,0.01,10,50,15,"{'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.01, 'min_data_in_leaf': 10, 'n_estimators': 50, 'num_leaves': 15}",-1.1593404212827982,-0.5175922810036903,-0.4516839623940933,-1.0344216133785384,-1.2669798090643196,-0.8860036174246879,0.3365246629927625,669,-0.5705585692065049,-0.6953421505902206,-0.7104006951084627,-0.6167170273943273,-0.5899749918787043,-0.6365986868356439,0.05626344711984015
