canonical_smiles,molecule_chembl_id,pIC50,standard_value,n_measurements,pIC50_range,kept_chembl_id,dropped_chembl_ids
C#Cc1cccc2cncc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5C[C@@H](F)C6)nc4c3F)c12,"['CHEMBL5844159', 'CHEMBL5844159']","[8.356547323513812, 6.512861624522813]","[4.4, 307.0]",2,1.843685698990999,CHEMBL5844159,['CHEMBL5844159']
C=Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@H]5CCCN5C)nc4c3F)c12,"['CHEMBL6010142', 'CHEMBL6010142']","[7.153662887870195, 4.856516789329938]","[70.2, 13915.0]",2,2.2971460985402565,CHEMBL6010142,['CHEMBL6010142']
CC#Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,"['CHEMBL5965315', 'CHEMBL5965315']","[7.684029654543082, 5.608711951404702]","[20.7, 2462.0]",2,2.0753177031383796,CHEMBL5965315,['CHEMBL5965315']
CC(=O)NC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(-c5cccc6cccc(Cl)c56)c(F)c4n3)CCCN12,"['CHEMBL5926495', 'CHEMBL5926495']","[8.036212172654444, 5.666351243485298]","[9.2, 2156.0]",2,2.369860929169146,CHEMBL5926495,['CHEMBL5926495']
CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C1=O,"['CHEMBL4075783', 'CHEMBL4075783']","[4.686132779630847, 4.133712660915805]","[20600.0, 73500.0]",2,0.5524201187150419,CHEMBL4075783,['CHEMBL4075783']
CC(C)(C)[Si](C)(C)OCC1CCC2(COc3nc(N4CC5CCC(C4)N5)c4cnc(-c5cccc6cccc(Cl)c56)c(F)c4n3)CCCN12,"['CHEMBL5805380', 'CHEMBL5805380']","[8.481486060122112, 5.401100112936117]","[3.3, 3971.0]",2,3.080385947185995,CHEMBL5805380,['CHEMBL5805380']
CC(C)(C)c1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,"['CHEMBL5928288', 'CHEMBL5928288']","[6.97469413473523, 4.980592891981116]","[106.0, 10457.0]",2,1.9941012427541134,CHEMBL5928288,['CHEMBL5928288']
CC(C)N1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1,"['CHEMBL6030504', 'CHEMBL6030504']","[6.795880017344075, 4.865472282202662]","[160.0, 13631.0]",2,1.9304077351414133,CHEMBL6030504,['CHEMBL6030504']
CC(C)N1CCC[C@H]1COc1nc(N2CC3N[C@H](C[C@H]3O)C2)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1,"['CHEMBL5748610', 'CHEMBL5748610']","[7.29413628771608, 5.625434939277235]","[50.8, 2369.0]",2,1.6687013484388453,CHEMBL5748610,['CHEMBL5748610']
CC(C)c1c(Cl)cc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,"['CHEMBL5798369', 'CHEMBL5798369']","[8.795880017344075, 7.332547047110046]","[1.6, 46.5]",2,1.4633329702340294,CHEMBL5798369,['CHEMBL5798369']
CC(C)c1c(Cl)cccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,"['CHEMBL5879199', 'CHEMBL5879199']","[8.080921907623926, 5.910448117113546]","[8.3, 1229.0]",2,2.17047379051038,CHEMBL5879199,['CHEMBL5879199']
CC(C)c1c(F)cc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,"['CHEMBL5792008', 'CHEMBL5792008']","[8.67778070526608, 6.958607314841775]","[2.1, 110.0]",2,1.7191733904243058,CHEMBL5792008,['CHEMBL5792008']
CC(C)c1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,"['CHEMBL5868853', 'CHEMBL5868853']","[8.721246399047171, 5.540456741719587]","[1.9, 2881.0]",2,3.1807896573275842,CHEMBL5868853,['CHEMBL5868853']
CC(C)c1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,"['CHEMBL5749373', 'CHEMBL5749373']","[8.568636235841012, 6.292429823902063]","[2.7, 510.0]",2,2.276206411938949,CHEMBL5749373,['CHEMBL5749373']
CC(C)c1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,"['CHEMBL5864437', 'CHEMBL5864437']","[8.638272163982407, 6.492144128304169]","[2.3, 322.0]",2,2.146128035678238,CHEMBL5864437,['CHEMBL5864437']
CC(C)c1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3C[C@H](F)C4)nc2c1F,"['CHEMBL6053648', 'CHEMBL6053648']","[7.809668301829708, 6.108462542327436]","[15.5, 779.0]",2,1.7012057595022725,CHEMBL6053648,['CHEMBL6053648']
