molecule_chembl_id,smiles,pIC50,MaxEStateIndex,MinEStateIndex,qed,SPS,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,Chi4n,Ipc,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA4,SlogP_VSA8,EState_VSA10,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticHeterocycles,NumAromaticRings,NumBridgeheadAtoms,NumHeterocycles,NumSaturatedCarbocycles,NumSpiroAtoms,RingCount,fr_Al_OH,fr_ArN,fr_Ar_N,fr_COO2,fr_NH0,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_alkyl_carbamate,fr_alkyl_halide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ether,fr_halogen,fr_imidazole,fr_methoxy,fr_morpholine,fr_nitrile,fr_para_hydroxylation,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_sulfide,fr_term_acetylene,fr_thiazole,fr_thiophene,fr_unbrch_alkane
CHEMBL5824370,Cc1cccc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c1C(C)C,6.476611405716882,16.530260889077855,-0.395250981565465,0.46931796038017465,24.17948717948718,1.1025641025641026,19.142256611345097,5.92021183512497,0.10754260564246444,3.604226109428812,1.330288655765632,7.7982994848756615,1412128145.1106305,23.635373454812672,5.817220841045895,0.0,6.010464839586836,4.39041504767482,9.967957041894417,0.0,32.046575604766076,75.58298877862721,36.93348953343114,10.92514946684814,16.720787709916088,37.6858173190137,41.34006860143779,17.26784432613229,10.208277825509848,6.010464839586836,0.0,12.740958040736519,22.160304418626517,0.0,35.28741654973836,74.37052936828034,12.841643245852019,6.196843571613076,12.13273413692322,41.95418673324076,19.688798516641675,22.92215636022928,0.0,7.1734699579862395,8.786166708005371,10.88214841697314,0.0,0.5806451612903226,0,4,4,2,3,2,6,0,0,7,0,0,3,0,5,0,0,0,0,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CHEMBL6020931,Cc1cccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cc(O)cc5ccccc45)c(F)c3n2)n1,5.623709060233063,16.408095833923305,-0.5692497474834235,0.31463984691602126,18.5,1.0,19.142256888756624,5.994625984052952,0.2955598596330901,3.295024117810054,1.317845008543946,5.961289418545638,2307483682.0834928,22.778003323583654,5.817220841045895,0.0,6.010464839586836,4.39041504767482,9.967957041894417,0.0,30.33183534230805,54.80329714831868,54.74216714605407,11.993106178977714,27.49323613884568,24.59630450718855,77.99922401851039,23.017356159416195,10.208277825509848,11.759976672870742,0.0,12.740958040736519,32.93275284755611,5.106527394840706,41.87892372973167,48.09146047630368,0.0,18.329577708536295,49.38830667892189,25.16863389769843,9.720841474747257,22.42514541089622,0.0,17.483643968315878,4.443025534267556,3.809913473353297,0.0,0.2903225806451613,0,2,2,3,5,2,5,0,0,7,0,0,4,0,5,0,0,0,0,0,0,1,1,2,4,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0
CHEMBL5999616,Cc1cccc(O)c1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,6.379863945026242,16.205691728080122,-0.8646531711906615,0.5243543787899413,28.81578947368421,1.1842105263157894,19.144961956305725,5.923763693939976,0.10733954960988017,3.538789960953352,1.317387683319316,7.079432371593429,814094444.1287948,35.55656068360687,5.817220841045895,0.0,6.010464839586836,8.78083009534964,9.967957041894417,0.0,12.13273413692322,50.78159865746584,49.89906756226972,10.92514946684814,16.720787709916088,37.6858173190137,35.7766171097408,23.017356159416195,14.598692873184667,11.759976672870742,0.0,12.740958040736519,22.160304418626517,9.496942442515525,47.38024966282832,45.31755570944177,6.06636706846161,12.263210640074686,12.990104268152233,25.0845651076017,9.720841474747257,36.71212927395566,0.0,5.852902181410409,5.237120775451906,4.87906636093425,0.0,0.5357142857142857,0,4,4,2,3,2,6,0,0,7,0,0,3,0,5,0,0,0,0,0,1,1,1,1,4,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
CHEMBL5866398,Cc1cccc(OCC(=O)Nc2n[nH]c(-c3ccccn3)n2)c1,5.1249387366083,11.870846718316958,-0.3351139035861255,0.7533674925705969,10.304347826086957,1.2608695652173914,16.48230470500614,5.898325366328025,-0.1176812838438787,3.0229701495164836,1.5709058095399766,1.949884653666233,278318.8157256836,11.443439828132366,12.431286462512844,5.907179729351506,0.0,0.0,4.9839785209472085,5.098681808301038,18.19910120538483,36.75265696523406,6.196843571613076,0.0,11.855519010338,11.923670568519249,54.22486454254135,17.267844326132295,5.948339280986494,5.749511833283905,0.0,6.923737199690624,11.518332492848387,4.794537184071822,17.267844326132295,5.563451491696996,0.0,18.3295777085363,37.255572541998674,25.48210926250282,4.736862953800049,5.422121829639416,0.0,12.943600719934974,1.6585277555213869,1.8438832820821318,0.0,0.125,0,0,0,2,3,0,2,0,0,3,0,0,4,0,3,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHEMBL4857517,Cc1cccc2cc(O)cc(N3CCc4c(nc(OCC5(CN6CCOCC6)CC5)nc4N4CC5CCC(C4)N5)C3)c12,8.494850021680094,10.616252596779097,0.20333516193638723,0.4423042071700606,25.071428571428573,1.0476190476190477,16.494696121663427,5.978145651192258,0.023100783212621545,3.685446721809682,1.102324252423619,7.689576022834738,9738815222.480284,11.567374611118932,0.0,0.0,6.010464839586836,0.0,9.967957041894417,0.0,18.19910120538483,56.04388808894409,79.4706396124751,32.05933029429979,22.277697481448183,68.88900379071515,47.1526663205505,11.759976672870742,11.50524905251859,11.759976672870742,0.0,12.338727669087405,10.772448428929591,5.106527394840706,36.99529670159216,81.48852524925914,42.196413689562824,0.0,12.13273413692322,45.13935620163322,19.441682949494513,12.074618840166991,0.0,11.640074874823831,5.731503915285499,11.03949423330208,0.0,0.5757575757575758,1,4,5,1,3,2,5,1,0,8,0,0,2,0,5,0,0,0,0,0,0,2,1,2,4,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
CHEMBL5910304,Cc1cccc2cccc(-c3cc4nc(OC[C@@H]5CCCN5C)nc(N5CC6CCC(C5)N6)c4cn3)c12,5.842241113953136,6.277584346436258,0.4207754240554772,0.43606004398492154,23.83783783783784,1.027027027027027,16.493551623270296,5.99851955686545,0.1880215529907863,3.4896815426099783,1.3181787080860772,6.51381106770833,683479730.4239608,12.424744742347947,0.0,0.0,6.010464839586836,0.0,9.967957041894417,0.0,36.39820241076966,68.60171906907262,42.9753303625791,16.596852926929518,27.493236138845678,38.18873289577831,54.22486454254134,17.26784432613229,5.817862777835028,6.010464839586836,0.0,6.923737199690624,32.93275284755611,0.0,30.742869291543638,54.03325803712527,35.59836478940461,0.0,6.196843571613076,71.55258672730638,19.688798516641672,6.277584346436258,0.0,16.92400660023763,6.7999253271736695,5.822219854113586,2.174929240781583,0.43333333333333335,0,3,3,2,4,2,5,0,0,7,0,0,3,0,5,0,1,1,0,0,0,1,1,2,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CHEMBL6036025,Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCCc5cccnc5)nc4c3F)c12,5.09248115389337,16.447042536571306,-0.45637146975666076,0.32776815101656515,18.666666666666668,1.0,19.142256205812732,6.0020040296717845,0.2967124944253165,3.3040069727954635,1.3303946869661907,6.017091548686789,1704395785.766744,17.02849149029975,5.817220841045895,0.0,6.010464839586836,4.39041504767482,9.967957041894417,0.0,42.46456947923127,47.73109892632784,55.7479982995833,11.993106178977714,27.493236138845674,24.59630450718855,84.06559108697199,17.26784432613229,10.208277825509848,6.010464839586836,0.0,12.740958040736519,32.93275284755611,0.0,36.31547223803467,53.39395896169775,0.0,12.393687143226153,61.65151731899658,25.16863389769843,9.720841474747257,22.476442831609226,0.0,16.88637581249752,8.211102591209846,4.024530023850772,0.0,0.2903225806451613,0,2,2,3,5,2,5,0,0,7,0,0,4,0,5,0,0,0,0,0,0,1,1,2,4,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
CHEMBL6024631,Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCCc5nccn5C)nc4c3F)c12,5.709965388637482,16.453227109574062,-0.45929566116570064,0.34875984679182226,18.794871794871796,1.0512820512820513,19.14225641493675,6.001982967175536,0.2931020916016565,3.513117790454734,1.3345690590677837,6.081900357342469,1648496066.511595,22.85289598829968,5.817220841045895,0.0,6.010464839586836,9.374393568622029,9.967957041894417,0.0,36.39820241076966,36.10128036616923,62.79567028226049,11.993106178977714,27.493236138845674,24.59630450718855,72.19380995635171,17.26784432613229,10.208277825509848,6.010464839586836,0.0,12.740958040736519,32.93275284755611,0.0,36.31547223803467,53.65491196800068,0.0,12.393687143226153,61.1335548125419,25.16863389769843,9.720841474747257,24.436152219425647,0.0,12.965391383804741,8.247095475187175,3.9904702236221414,1.9489646743306972,0.3333333333333333,0,2,2,3,5,2,5,0,0,7,0,0,5,0,6,0,0,0,0,0,0,1,2,2,4,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CHEMBL5990291,Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@H]5CCCN5C)nc4c3F)c12,6.585026652029182,16.463202632905016,-0.427922335600907,0.41561391937342634,23.55263157894737,1.0526315789473684,19.14225614043241,6.001968735195981,0.18794885256748925,3.499722855630802,1.3560927134239689,6.5714906527708585,1019502907.1813409,23.635373454812672,5.817220841045895,0.0,6.010464839586836,4.39041504767482,9.967957041894417,0.0,36.39820241076966,62.53535200061101,42.9753303625791,5.386224214464796,27.493236138845674,38.188732895778315,53.97571831512563,17.26784432613229,10.208277825509848,6.010464839586836,0.0,12.740958040736519,32.93275284755611,0.0,35.81255666127006,73.03476989960038,0.0,6.196843571613076,18.19910120538483,57.255075495354355,9.720841474747257,22.62912031267461,0.0,13.482259466198826,6.29475814610371,5.2779639542227645,2.1190444671190316,0.43333333333333335,0,3,3,2,4,2,5,0,0,7,0,0,3,0,5,0,1,1,0,0,0,1,1,2,4,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CHEMBL5965852,Cc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,5.928486194904911,16.135136172524568,-0.4074732037876878,0.5803808436299284,25.0,1.0833333333333333,19.1422557167542,5.918667881804694,0.10754262056408939,3.5683142781494714,1.3118530722222652,6.98339971257445,410190768.46196836,23.635373454812672,5.817220841045895,0.0,6.010464839586836,4.39041504767482,9.967957041894417,0.0,24.26546827384644,64.10163124076882,36.93348953343114,10.92514946684814,16.720787709916088,37.6858173190137,41.84298417820241,17.26784432613229,10.208277825509848,6.010464839586836,0.0,12.740958040736519,22.160304418626517,0.0,35.28741654973836,68.80707787658335,12.841643245852019,6.196843571613076,31.18920547353706,25.0845651076017,9.720841474747257,22.469685964663647,0.0,8.907781059088675,8.76958591395205,6.502965113850651,0.0,0.5357142857142857,0,4,4,2,3,2,6,0,0,7,0,0,3,0,5,0,0,0,0,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
