feature,importance
RDKit_1427,0.014500311112729196
ECFP4_38,0.013594991804618737
RDKit_756,0.012699653184134631
RDKit_1598,0.010170268533125647
RDKit_910,0.01010178828612981
RDKit_1316,0.009486423875965978
ECFP4_494,0.009408635067265038
RDKit_1267,0.009354838489371296
RDKit_884,0.009019423715067025
RDKit_95,0.008335937741908798
RDKit_766,0.00796858642415438
RDKit_1357,0.007897566298367653
ECFP4_836,0.007858396119147647
ECFP4_745,0.007714499236625756
RDKit_1906,0.007643851086679993
RDKit_1139,0.007139037884750593
ECFP4_1199,0.007104197226797246
RDKit_1455,0.006708479998441824
RDKit_408,0.006645991582790374
RDKit_894,0.006432918235429799
MACCS_149,0.006223526737600009
RDKit_865,0.006102083576694367
RDKit_1747,0.006074635132981465
RDKit_1858,0.006023678394952239
ECFP4_298,0.005865843288946528
ECFP4_167,0.005754835385187097
RDKit_356,0.005747936555796738
RDKit_181,0.00539965153839572
RDKit_921,0.005118345887573075
RDKit_931,0.004882544882109905
RDKit_1770,0.004833031404243755
ECFP4_1964,0.004822114720236491
RDKit_861,0.004816686478317555
RDKit_1096,0.00476919198588582
RDKit_613,0.004737793470195189
RDKit_1181,0.004600057453395823
ECFP4_1676,0.0045621132079375305
RDKit_1442,0.004518439950338278
RDKit_1645,0.004516704035967056
RDKit_1293,0.004436891745141396
ECFP4_282,0.004419000273683305
RDKit_586,0.004417552507340551
RDKit_1398,0.004371512439302249
RDKit_407,0.004312220400912128
RDKit_1418,0.00420948884797013
RDKit_245,0.004161773587570749
ECFP4_952,0.004093336151671816
RDKit_1565,0.004081186119811672
RDKit_979,0.004072442848343233
MACCS_131,0.003901633946498462
RDKit_1397,0.0038684313003411685
ECFP4_446,0.003840201818046047
RDKit_1920,0.0038119411724899187
RDKit_681,0.003743985462230471
RDKit_370,0.0037302767728750645
RDKit_98,0.003720327379510801
RDKit_1156,0.0037032440726643655
RDKit_530,0.0037016533355760093
ECFP4_807,0.003669503323895371
RDKit_1948,0.0036504353844605112
ECFP4_1610,0.0036279616580709205
ECFP4_875,0.0036025745841063144
RDKit_1018,0.0035635998936834903
ECFP4_402,0.0035246255035218787
RDKit_958,0.0035205487081429866
ECFP4_1060,0.0035149513326629533
RDKit_1996,0.00338517418547064
ECFP4_1313,0.0033338827223366447
RDKit_901,0.0033149245583428046
RDKit_1035,0.0032959817079549914
RDKit_1524,0.0032752291332194404
RDKit_1209,0.0032719063014050778
RDKit_1502,0.0032462416627211323
RDKit_100,0.0032118388568273142
RDKit_1947,0.0031880593038566695
RDKit_1218,0.003186240153031089
RDKit_1244,0.003163980816290738
ECFP4_832,0.003129857284370827
ECFP4_294,0.0031289443410667662
ECFP4_201,0.0031161666325997817
RDKit_675,0.003103391494471659
RDKit_1601,0.003046285692895237
RDKit_679,0.0030406990914063846
RDKit_593,0.0030363767588581668
RDKit_1200,0.0030328366900204116
ECFP4_1601,0.0030174997133397092
RDKit_1252,0.0029727698297429073
RDKit_1227,0.0029599096393930326
RDKit_1469,0.0029470458063968275
RDKit_1590,0.002909472108749417
RDKit_1467,0.002880501203428741
RDKit_926,0.0028708328012958333
ECFP4_286,0.002866588279650474
RDKit_537,0.0028051439819982587
RDKit_1671,0.00277464264880395
RDKit_937,0.002734969623222475
RDKit_1594,0.00272534747000473
ECFP4_448,0.002706286661156136
RDKit_1739,0.0026856814000676328
RDKit_308,0.0026695091211729237
MACCS_159,0.002556873299441617
RDKit_1041,0.0025524442125034463
ECFP4_1911,0.002544064841788517
MACCS_88,0.002535330368670793
RDKit_1047,0.002532901448790095
RDKit_1015,0.002521416872590128
RDKit_791,0.0025164557179334084
RDKit_631,0.002486431696673656
RDKit_1621,0.0024801409811649193
RDKit_2011,0.002459951582925269
RDKit_333,0.002453250287523785
RDKit_1404,0.002447464177760351
RDKit_281,0.0024393783129239687
RDKit_1049,0.002428974565600141
RDKit_1940,0.00239290441353189
RDKit_157,0.002362380080828176
RDKit_1059,0.002340716207803777
RDKit_1793,0.002331628987949867
RDKit_1630,0.0023264196632353136
RDKit_422,0.002321630214996786
RDKit_1936,0.0023107483889584974
RDKit_932,0.002307837924909783
MACCS_132,0.002279247172936497
RDKit_127,0.002278180564780302
RDKit_433,0.0022780290770661794
RDKit_1098,0.002275816896645326
RDKit_522,0.0022608141156952944
ECFP4_679,0.002253101076796683
RDKit_1294,0.0022455436494935137
ECFP4_322,0.0022433893270684337
RDKit_92,0.002226869723518603
RDKit_70,0.002221584736864785
RDKit_605,0.002190214279026822
RDKit_192,0.0021892584854789386
ECFP4_1136,0.002184098589520043
RDKit_1807,0.002135909582141105
RDKit_213,0.002106066995869771
ECFP4_2002,0.0020991413508187223
RDKit_2044,0.0020939246456226895
RDKit_815,0.0020872748967600873
RDKit_584,0.0020745270532720687
ECFP4_1722,0.002071833370499668
RDKit_1969,0.0020612941968449826
RDKit_396,0.0020538981038945967
RDKit_274,0.002051180933773894
RDKit_770,0.002028667437339614
RDKit_1365,0.0020138213168544097
RDKit_1271,0.002011103915321991
RDKit_737,0.001988142701158782
ECFP4_585,0.001971410930756796
RDKit_451,0.0019684857130319914
RDKit_761,0.0019541487808136387
RDKit_565,0.0019540278205389516
RDKit_1829,0.001946791568122273
RDKit_621,0.0019373848726109925
ECFP4_490,0.0019319030501049328
RDKit_1682,0.001893247992801437
RDKit_624,0.0018929918896861198
RDKit_372,0.0018828334775082573
RDKit_1593,0.0018496988805842146
ECFP4_1985,0.0018403861827553953
RDKit_1284,0.0018196731510651614
RDKit_1296,0.001804178359906491
RDKit_945,0.0018038454136139641
ECFP4_1057,0.0017902691769191767
ECFP4_40,0.0017892450531778248
RDKit_1121,0.0017803771030375217
ECFP4_1316,0.0017796914799208796
RDKit_1005,0.0017764075790112949
MACCS_25,0.0017746426836097444
RDKit_1962,0.0017610129961396748
RDKit_1673,0.001743777067687882
RDKit_1613,0.001736360515078252
RDKit_625,0.0017252505378392436
RDKit_361,0.0017235937589019415
RDKit_691,0.0017219443558438704
ECFP4_1240,0.0016840582515436403
RDKit_647,0.0016785089781710127
RDKit_1922,0.0016670846173890575
RDKit_1163,0.0016623224304654358
RDKit_1103,0.0016540731156035823
ECFP4_623,0.0015910282390434378
ECFP4_1216,0.001586419665172495
RDKit_91,0.0015691530989814192
RDKit_1715,0.0015622988507164289
RDKit_807,0.0015559885134865197
RDKit_1553,0.0015502327252914965
RDKit_1805,0.0015450454923350188
RDKit_9,0.0015353794090160122
RDKit_1347,0.0015072447828697012
ECFP4_1750,0.0015054954853491
RDKit_121,0.0014458073421522127
ECFP4_598,0.0014309320626909505
RDKit_519,0.001419664599877608
RDKit_651,0.0014083143876410078
ECFP4_841,0.0013732887094094432
RDKit_82,0.001373183883836826
ECFP4_725,0.0013616054548360951
RDKit_1527,0.0013606157606285635
RDKit_858,0.0013574399519275771
RDKit_981,0.0013553756369271547
RDKit_167,0.0013530381045976964
RDKit_352,0.0013520173275041725
RDKit_353,0.0013439965862203584
RDKit_1241,0.0013379399732539154
RDKit_331,0.001335138426779498
MACCS_66,0.0012917530564228944
RDKit_201,0.0012829602932290976
ECFP4_1088,0.0012777903200407311
RDKit_1713,0.0012709671436570702
RDKit_765,0.0012689863192957927
RDKit_2006,0.001259185527374141
ECFP4_2011,0.00125431864644886
ECFP4_211,0.0012504510303665312
RDKit_1100,0.0012502719534805624
RDKit_1320,0.0012482796458254703
RDKit_881,0.0012426702231989528
RDKit_187,0.0012333220095161357
RDKit_1153,0.001223519926439092
RDKit_1943,0.0012226168199309794
RDKit_1742,0.0012152110785235962
RDKit_1062,0.0012143073704709742
RDKit_1979,0.0012033250732611791
RDKit_611,0.001197455402421351
RDKit_1472,0.0011851080466593455
RDKit_1558,0.001183602049471591
ECFP4_1162,0.0011822712168597551
RDKit_4,0.0011689466145448004
RDKit_1067,0.0011621746218863011
RDKit_1726,0.0011473426127731367
ECFP4_1372,0.0011337753320266014
RDKit_423,0.0011306380677491934
ECFP4_915,0.0011210106076978215
RDKit_1981,0.0011175435807003814
MACCS_82,0.0011087452690526879
RDKit_1754,0.0010946825420678672
RDKit_1195,0.0010933686434086334
RDKit_403,0.0010919738150541192
RDKit_67,0.001084185426759615
RDKit_652,0.0010835095691570295
RDKit_34,0.001048164436623102
ECFP4_1171,0.0010433313663485643
ECFP4_1466,0.0010427276191577592
RDKit_1205,0.0010366316418099872
RDKit_1840,0.001025972915455912
RDKit_1766,0.0010218793464385762
RDKit_741,0.0010191673115071244
ECFP4_1373,0.0010064281132331954
RDKit_610,0.0009777815326854403
ECFP4_199,0.0009676135249471581
MACCS_115,0.0009636359943178585
RDKit_1771,0.0009245996005483073
RDKit_35,0.0009221770699942727
RDKit_2032,0.0009199041910091825
RDKit_336,0.0009134541341206862
ECFP4_1866,0.000903914585327545
RDKit_845,0.0008977728161311716
RDKit_1029,0.000884630239380292
RDKit_1988,0.0008830627579942212
RDKit_595,0.0008723609876672622
RDKit_1291,0.0008684887643176653
RDKit_1465,0.0008684432763752878
RDKit_848,0.0008667604714341435
RDKit_1114,0.0008445202953473745
RDKit_1684,0.0008387788984722555
RDKit_1899,0.0008378389072422328
RDKit_7,0.0008336647107774215
RDKit_1532,0.000823637612242035
ECFP4_802,0.0008235614634289979
RDKit_1077,0.0007962341846570302
RDKit_424,0.0007907680323514299
RDKit_1508,0.000790117847093378
ECFP4_216,0.0007900394998854652
RDKit_1309,0.000775172839081884
RDKit_543,0.0007614534550350001
RDKit_2018,0.0007589041765788971
RDKit_744,0.0007587860712944914
RDKit_84,0.0007469631833424334
ECFP4_172,0.0007326958316034595
RDKit_789,0.000723964708068906
RDKit_826,0.0007235074017908475
ECFP4_1039,0.0007234927954682624
RDKit_952,0.0007175987074924411
ECFP4_896,0.0007154294462236657
ECFP4_1743,0.000711833797137331
RDKit_453,0.0007077045108365612
RDKit_774,0.0006888152233536515
RDKit_1006,0.0006826253923343769
MACCS_84,0.000670705215452517
RDKit_713,0.0006651131564819353
ECFP4_674,0.0006629493523362712
ECFP4_1840,0.000662910339091242
RDKit_222,0.0006594125544112392
ECFP4_405,0.0006501398111684215
RDKit_212,0.0006444752378926477
RDKit_954,0.0006438292019837141
RDKit_376,0.0006413132399631112
RDKit_1994,0.0006391918870872783
RDKit_40,0.0006240514120933185
RDKit_463,0.0006166382154249455
RDKit_732,0.000606564675979001
RDKit_1382,0.0006065390582103458
MACCS_93,0.000594652220397835
ECFP4_1239,0.0005843619350001618
RDKit_1112,0.0005729144522143208
RDKit_1930,0.0005693536942824802
RDKit_3,0.0005507117654426387
RDKit_890,0.0005482761414220024
RDKit_1921,0.0005246040044451218
RDKit_1009,0.0005166029010863686
RDKit_618,0.0005034622856649284
ECFP4_1028,0.0005034229988127394
RDKit_1437,0.0004886946059043079
RDKit_272,0.00047738629443822006
ECFP4_1065,0.0004612406552128233
RDKit_193,0.0004410694274178071
RDKit_297,0.00042650348517391613
RDKit_518,0.0004258010357941968
RDKit_105,0.0004187626508070469
ECFP4_1879,0.000417455250761035
RDKit_439,0.0004139141634953029
ECFP4_213,0.00041350403854957947
MACCS_160,0.00040392450484534186
RDKit_215,0.00039881947093541514
MACCS_146,0.00039307305793593597
RDKit_452,0.00039138903270497026
RDKit_1242,0.00038287070255962034
RDKit_431,0.0003807242108339444
RDKit_1354,0.00036624543926976885
MACCS_139,0.00035326142336772787
RDKit_1080,0.0003482180109978111
RDKit_1225,0.00033064216218465906
RDKit_717,0.0003266341783222441
RDKit_1245,0.00032358401789209663
RDKit_1441,0.0003155526750750912
ECFP4_366,0.00031276604757456063
RDKit_1463,0.000312631898470329
RDKit_31,0.0003110770677955554
RDKit_414,0.00030312149771859523
RDKit_1917,0.00029474434164997187
RDKit_1792,0.0002865880513444016
RDKit_1753,0.0002813246601832744
RDKit_1547,0.0002780509278911353
RDKit_903,0.00027212896765017874
RDKit_8,0.0002677949170577486
RDKit_1705,0.0002674360289763568
RDKit_448,0.00024421192037093185
RDKit_1626,0.0002212077516876142
RDKit_366,0.00020774527696134487
RDKit_1506,0.00020344985597641385
RDKit_56,0.00020141821099509268
RDKit_627,0.0001994519240402329
RDKit_1867,0.00019349904259188423
RDKit_346,0.00019307023197917463
RDKit_369,0.00019197844852709162
RDKit_1934,0.00018808064791369272
MACCS_95,0.00017404736011286594
RDKit_690,0.00017311519700644262
RDKit_493,0.00015956011187827346
RDKit_232,0.00015728020993891346
RDKit_413,0.00012538895548292305
RDKit_1628,0.00010404355818845492
RDKit_1043,0.00010358900025838736
ECFP4_147,8.528383243116999e-05
RDKit_22,8.376310406372708e-05
RDKit_263,6.705489690538132e-05
RDKit_479,4.690288759253211e-05
RDKit_1513,3.855193126625076e-05
MACCS_116,3.180746399160956e-05
RDKit_1052,0.0
RDKit_2033,0.0
