Ligand_name,Label,Is_active,Status,Converged,Formula,MW_Da,LogP,HBD,HBA,RotB,TPSA_A2,Best_affinity_kcal_mol,best_rmsd_lb,best_rmsd_ub,RF_Score_pKd,Runtime_s
CHEMBL282571,decoy,0,SUCCESS,True,C28H27NO8,505.174,4.235,2,9,10,104.71,-2.884,-3.98,-0.657,6.655,180.69
CHEMBL282388,decoy,0,SUCCESS,True,C28H32N3O6S2+,570.173,2.373,4,8,10,126.37,-3.949,-6.026,-0.689,7.188,334.8
CHEMBL282736,decoy,0,SUCCESS,True,C27H14Cl2F3NO5,559.02,6.608,2,5,4,88.76,0.736,0.909,-0.923,7.131,141.93
CHEMBL282703,decoy,0,SUCCESS,True,C26H24F2N5O2+,476.189,2.702,2,3,5,84.98,-6.095,-7.52,-1.469,7.401,171.14
CHEMBL281681,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL282753,decoy,0,SUCCESS,True,C26H21F3N4O3,494.157,5.188,1,5,4,78.68,-5.019,-6.486,-0.199,6.659,160.29
CHEMBL282883,decoy,0,SUCCESS,True,C27H18ClN5OS,495.092,5.12,0,5,3,63.38,-7.261,-8.959,-0.832,7.457,118.31
CHEMBL282359,decoy,0,SUCCESS,True,C29H26N4O5S,542.162,5.686,1,7,11,118.54,-3.229,-4.74,-1.578,7.323,391.38
CHEMBL282761,decoy,0,SUCCESS,True,C33H35N4O6+,583.255,2.243,3,6,12,110.6,0.018,0.027,-0.849,6.511,168.86
CHEMBL282565,decoy,0,SUCCESS,True,C35H36N3O4+,562.27,3.636,4,4,8,88.16,-1.585,-2.141,-1.24,6.685,254.26
CHEMBL281582,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL282566,decoy,0,SUCCESS,True,C31H25N5O3,515.196,6.062,2,7,9,104.23,-6.007,-8.64,-0.966,7.708,248.85
CHEMBL282282,decoy,0,SUCCESS,True,C26H34Cl2N5O3+,534.203,2.416,3,6,14,88.08,-5.113,-8.402,-1.61,7.815,433.58
CHEMBL282413,decoy,0,SUCCESS,True,C25H20F6NO6S2+,608.063,4.145,1,6,6,91.18,-2.897,-4.082,-1.84,6.484,392.2
CHEMBL282167,decoy,0,SUCCESS,True,C36H35N7O3,613.28,6.706,0,7,14,105.81,-4.998,-8.212,-0.16,7.622,553.0
CHEMBL282905,decoy,0,SUCCESS,True,C28H19ClN6OS,522.103,5.738,0,5,4,66.62,-5.375,-6.947,0.182,7.474,149.18
CHEMBL282236,decoy,0,SUCCESS,True,C34H31N7O3,585.249,7.159,2,7,11,125.46,-6.361,-10.452,-2.027,7.698,527.11
CHEMBL282796,decoy,0,SUCCESS,True,C28H31NO8,509.205,4.572,0,8,14,92.76,-0.99,-1.511,-0.49,6.714,176.33
CHEMBL282518,decoy,0,SUCCESS,True,C35H35BrN3O4+,640.181,4.011,4,4,8,88.16,-4.003,-5.641,1.731,7.937,318.66
CHEMBL282065,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL282971,decoy,0,SUCCESS,True,C23H27ClN3O3S2+,492.118,3.54,2,5,7,63.08,-6.364,-8.224,-0.32,7.719,159.73
CHEMBL282563,decoy,0,SUCCESS,True,C29H29FN3O4-,502.215,3.924,2,6,14,111.3,-4.2,-6.655,-2.404,7.52,308.9
CHEMBL281953,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL282450,decoy,0,SUCCESS,True,C31H26BrFN2O6,620.096,5.628,0,7,9,95.03,-5.014,-7.652,-0.977,7.146,411.27
CHEMBL28244,decoy,0,SUCCESS,True,C30H28N3O6-,526.198,2.11,2,6,11,135.71,-6.564,-10.402,-2.012,7.539,418.15
CHEMBL283006,decoy,0,SUCCESS,True,C26H23F3N6OS,524.161,5.472,1,7,6,74.25,-4.088,-5.283,0.035,6.581,160.79
CHEMBL282494,decoy,0,SUCCESS,True,C31H26F4N4O6,626.179,4.794,1,6,6,112.4,-7.262,-10.233,-0.075,7.686,379.55
CHEMBL282307,decoy,0,SUCCESS,True,C25H32ClF3N4O5S,592.173,4.579,2,6,13,119.39,-5.899,-10.382,-3.13,7.752,482.74
CHEMBL282439,decoy,0,SUCCESS,True,C33H43FN6O+4,558.346,-0.683,6,3,10,62.91,6.389,9.19,1.979,7.937,432.47
CHEMBL282819,decoy,0,SUCCESS,True,C28H28F2N7+,500.237,2.927,1,5,5,75.07,-2.173,-2.935,-1.514,7.046,210.24
CHEMBL282674,decoy,0,SUCCESS,True,C26H32Cl2N5O2+,516.193,3.462,1,5,10,56.85,-5.113,-7.505,0.422,7.475,314.1
CHEMBL282628,decoy,0,SUCCESS,True,C25H25N5O5S,507.158,4.282,1,7,10,121.78,-3.128,-4.409,-1.23,6.488,336.34
CHEMBL283182,decoy,0,SUCCESS,True,C26H17Cl2NO5,493.048,5.169,1,5,3,81.7,-3.148,-3.7,-1.46,6.674,94.97
CHEMBL282491,decoy,0,SUCCESS,True,C31H29ClN3O5-,558.18,4.926,1,6,13,113.35,-5.674,-9.654,-2.804,7.663,424.8
CHEMBL283136,decoy,0,SUCCESS,True,C16H12BrN3O6S2,484.935,3.589,2,8,6,119.76,-5.277,-6.819,-1.57,7.391,124.53
CHEMBL282975,decoy,0,SUCCESS,True,C29H40N2O5,496.294,1.302,1,6,12,103.89,-2.713,-4.14,-1.081,6.707,211.12
CHEMBL282158,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL282965,decoy,0,SUCCESS,True,C30H35NO9,553.231,4.181,1,9,16,112.99,-0.78,-1.26,1.097,6.587,243.54
CHEMBL283050,decoy,0,SUCCESS,True,C26H29FN3O4-,466.215,2.711,2,6,12,110.77,-5.116,-7.808,-0.389,7.218,208.16
CHEMBL283152,decoy,0,SUCCESS,True,C29H20FN5O2,489.16,3.968,0,5,4,80.45,-3.675,-4.75,-1.211,6.895,159.18
CHEMBL282568,decoy,0,SUCCESS,True,C28H38N5O3S2+,556.241,3.051,3,6,11,119.04,-5.215,-7.806,-1.394,6.97,398.4
CHEMBL281565,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL283055,decoy,0,SUCCESS,True,C30H28N8O,516.239,5.059,2,6,8,113.74,-7.385,-9.975,-0.357,7.737,244.71
CHEMBL283420,decoy,0,SUCCESS,True,C27H19Br2N3O6,638.964,4.131,3,6,5,114.95,-2.393,-2.812,-0.297,4.226,75.93
CHEMBL282198,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL283369,decoy,0,SUCCESS,True,C31H28F3N4O2+,545.216,4.359,1,3,1,51.8,-2.967,-3.661,-0.65,5.459,119.32
CHEMBL283045,decoy,0,SUCCESS,True,C31H44ClNO5,545.291,2.899,1,5,11,80.1,-1.628,-2.39,-1.289,7.399,267.84
CHEMBL283119,decoy,0,SUCCESS,True,C26H31FN3O4-,468.23,3.129,2,6,12,110.77,-3.384,-5.363,-1.692,6.636,235.98
CHEMBL282457,decoy,0,SUCCESS,True,C30H41N3O5S,555.277,3.365,3,6,14,107.97,-5.316,-8.579,-0.573,7.181,528.65
CHEMBL282707,decoy,0,SUCCESS,True,C30H32F2N3O3+,520.241,4.629,1,3,13,66.46,-6.378,-9.734,0.664,7.515,394.62
CHEMBL281462,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL282664,decoy,0,SUCCESS,True,C28H29N2O5S-,505.18,1.706,3,6,14,107.56,-5.651,-10.111,-2.44,7.129,443.51
CHEMBL283218,decoy,0,SUCCESS,True,C29H33NO8,523.221,4.963,0,8,14,92.76,-0.761,-1.161,-0.601,6.679,188.02
CHEMBL282767,decoy,0,SUCCESS,True,C30H26F3N5O5S,625.161,4.519,1,7,6,112.15,-7.11,-10.019,-0.377,7.594,381.02
CHEMBL283071,decoy,0,SUCCESS,True,C26H27ClN3O5-,496.164,3.567,1,6,13,113.35,-5.503,-9.041,-2.636,7.641,273.61
CHEMBL283266,decoy,0,SUCCESS,True,C28H24N2O7,500.158,4.098,2,9,8,119.27,-1.589,-2.193,-0.983,6.445,188.38
CHEMBL283117,decoy,0,SUCCESS,True,C31H30N5O4+,536.229,2.431,3,5,7,118.92,-2.269,-2.866,-0.703,7.587,283.47
CHEMBL283365,decoy,0,SUCCESS,True,C29H19ClF3N5O,545.123,5.621,0,4,2,63.38,-3.333,-4.307,-0.0,5.23,180.92
CHEMBL283143,decoy,0,SUCCESS,True,C29H31N7O2,509.254,3.625,3,6,10,129.89,-7.242,-10.418,-1.407,7.707,261.56
CHEMBL282964,decoy,0,SUCCESS,True,C31H29N6O+,501.24,3.329,1,4,8,102.32,-5.583,-8.521,-0.28,7.126,374.47
CHEMBL283188,decoy,0,SUCCESS,True,C28H39O8-,503.265,1.747,0,8,14,106.65,-1.554,-2.371,0.121,6.39,258.68
CHEMBL283509,decoy,0,SUCCESS,True,C28H32O8,496.21,3.462,2,8,11,111.52,2.155,2.659,-0.295,5.519,81.44
CHEMBL281395,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL283384,decoy,0,SUCCESS,True,C28H27ClNO7+,524.147,3.531,2,7,9,100.06,-2.839,-3.918,-1.491,7.351,199.92
CHEMBL283375,decoy,0,SUCCESS,True,C28H39O8-,503.265,1.829,1,8,12,114.35,-1.83,-2.525,-0.78,6.42,205.09
CHEMBL283271,decoy,0,SUCCESS,True,C27H25F3N4O3S,542.16,5.517,1,6,7,74.77,-6.791,-9.57,-0.966,7.922,241.59
CHEMBL28335,decoy,0,SUCCESS,True,C30H23N5O4S,549.147,5.067,2,8,8,129.14,-5.217,-7.199,-1.516,7.948,229.93
CHEMBL283497,decoy,0,SUCCESS,True,C22H16ClFN4O3S,470.062,4.232,2,4,6,107.08,-4.784,-6.323,-0.407,7.525,118.72
CHEMBL283458,decoy,0,SUCCESS,True,C25H32BrO7-,523.134,4.245,0,7,9,86.28,-5.489,-7.414,-1.009,6.966,158.39
CHEMBL283134,decoy,0,SUCCESS,True,C28H36N3O5-,494.266,3.815,1,6,11,115.57,-6.587,-10.823,-1.209,7.712,330.68
CHEMBL283122,decoy,0,SUCCESS,True,C30H33N6O4S+,573.228,2.405,2,6,10,110.33,-4.521,-6.635,-1.004,7.709,347.79
CHEMBL283039,decoy,0,SUCCESS,True,C31H26F4N4O6,626.179,4.794,1,6,6,112.4,-6.903,-9.728,-0.001,7.703,395.14
CHEMBL283216,decoy,0,SUCCESS,True,C26H32Cl2N5O2+,516.193,3.462,1,5,10,56.85,-4.905,-7.199,-0.171,7.314,302.83
CHEMBL283457,decoy,0,SUCCESS,True,C28H29FN3O4+,490.214,2.951,3,5,9,105.13,-4.206,-6.051,-0.962,7.07,186.67
CHEMBL283011,decoy,0,SUCCESS,True,C27H27N3O5S2,537.139,4.774,1,7,12,105.67,-6.034,-9.561,-0.51,6.532,416.64
CHEMBL283535,decoy,0,SUCCESS,True,C18H14ClN3O7S2,482.996,3.682,2,9,8,136.83,-5.672,-7.661,-1.877,6.945,133.61
CHEMBL283293,decoy,0,SUCCESS,True,C29H35N7O3+2,529.279,1.755,3,4,10,150.63,-4.431,-6.245,-1.543,6.994,284.62
CHEMBL283360,decoy,0,SUCCESS,True,C29H34BrN2O8+,617.149,2.423,2,8,15,108.2,-1.338,-2.159,2.078,6.019,293.6
CHEMBL283525,decoy,0,SUCCESS,True,C30H24ClN5OS,537.139,5.634,0,5,4,63.38,-5.362,-6.616,-0.526,7.792,161.77
CHEMBL283231,decoy,0,SUCCESS,True,C33H35NO9,589.231,4.785,1,9,17,118.62,-2.742,-4.346,-0.92,6.796,328.35
CHEMBL283194,decoy,0,SUCCESS,True,C32H42ClNO5,555.275,3.076,1,5,12,80.1,-0.665,-0.976,-0.968,7.135,358.57
CHEMBL282789,decoy,0,SUCCESS,True,C31H37N4O4+,529.281,3.527,4,6,15,100.97,-5.427,-9.868,-1.532,7.004,514.88
CHEMBL282336,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL28307,decoy,0,SUCCESS,True,C28H25N4O6-,513.178,2.482,4,6,10,152.6,-7.524,-11.922,-1.746,7.491,436.03
CHEMBL283592,decoy,0,SUCCESS,True,C25H28IN4O2+,543.125,2.747,1,4,8,50.11,-5.568,-7.846,-1.595,7.156,177.31
CHEMBL282679,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL283462,decoy,0,SUCCESS,True,C30H35NO6,505.246,4.594,2,6,11,97.39,-6.925,-9.962,-0.566,7.364,236.49
CHEMBL283812,decoy,0,SUCCESS,True,C27H19Cl2N3O6,551.065,3.913,3,6,5,114.95,246.562,289.804,-0.088,4.403,73.39
CHEMBL283421,decoy,0,SUCCESS,True,C30H32NO9+,550.207,2.895,2,9,13,118.52,-3.501,-5.241,-0.635,6.723,295.55
CHEMBL283550,decoy,0,SUCCESS,True,C29H24N2O6,496.163,3.946,0,7,7,95.03,-7.552,-10.643,-0.269,6.61,201.79
CHEMBL283465,decoy,0,SUCCESS,True,C26H22N3O6PS-2,535.098,2.307,1,8,7,145.62,-4.882,-7.164,-0.534,7.138,251.45
CHEMBL283317,decoy,0,SUCCESS,True,C31H45N3O4S,555.313,5.423,2,5,13,86.01,-4.113,-6.036,0.322,8.061,352.58
CHEMBL283598,decoy,0,SUCCESS,True,C25H16NO8S-,490.06,3.39,0,9,5,100.44,-5.167,-6.677,-1.154,6.197,197.56
CHEMBL28272,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL283049,decoy,0,SUCCESS,True,C27H43N3O5S,521.292,1.198,2,5,14,123.22,-5.98,-10.524,-2.427,7.568,489.57
CHEMBL283402,decoy,0,SUCCESS,True,C32H37NO5,515.267,5.064,2,5,12,88.16,-6.176,-9.244,-1.016,7.367,330.74
CHEMBL283414,decoy,0,SUCCESS,True,C30H36N2O6,520.257,4.379,2,7,12,110.28,-4.612,-6.904,-0.952,6.906,330.99
CHEMBL283170,decoy,0,SUCCESS,True,C30H31F3N3O3+,538.231,4.768,1,3,13,66.46,-4.279,-6.53,-1.724,6.522,431.42
CHEMBL283381,decoy,0,SUCCESS,True,C28H29F3N3O3S+,544.188,4.83,1,4,13,66.46,-4.465,-6.813,-0.765,6.317,357.99
CHEMBL283255,decoy,0,SUCCESS,True,C29H28F2N7O+,528.232,2.352,2,5,7,94.37,-5.586,-7.872,-1.432,7.724,405.35
CHEMBL281573,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL282793,decoy,0,SUCCESS,True,C31H36N4O4S2,592.218,2.14,1,7,14,107.2,8.028,14.129,-0.822,7.314,593.12
CHEMBL283631,decoy,0,SUCCESS,True,C27H24N2O9,520.148,4.134,2,10,9,138.62,-0.07,-0.097,0.411,6.487,208.31
CHEMBL283585,decoy,0,SUCCESS,True,C27H23N5O5S2,561.114,3.699,2,7,9,154.11,-6.124,-8.452,-1.443,7.622,264.65
CHEMBL283680,decoy,0,SUCCESS,True,C28H40BrNO5,549.209,2.131,1,5,12,80.1,-1.992,-2.923,-0.334,7.125,201.97
CHEMBL283329,decoy,0,SUCCESS,True,C26H26NO8S2-,544.111,2.675,0,9,14,114.43,-5.555,-9.452,-0.192,6.185,424.09
CHEMBL283538,decoy,0,SUCCESS,True,C23H26N2O6S2,490.123,4.222,2,8,14,108.66,-4.523,-7.432,-1.729,6.45,297.78
CHEMBL283716,decoy,0,SUCCESS,True,C30H33NO5,487.236,4.284,2,5,10,88.16,-4.709,-6.498,-0.707,6.858,223.75
CHEMBL282825,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL283821,decoy,0,SUCCESS,True,C27H38O8,490.257,4.914,0,8,12,81.68,-5.275,-7.741,-1.222,6.335,161.54
CHEMBL283684,decoy,0,SUCCESS,True,C27H25N2O7P-2,520.141,2.436,1,7,8,138.9,-5.663,-8.311,-0.599,7.195,250.14
CHEMBL283767,decoy,0,SUCCESS,True,C30H28O9,532.173,4.203,0,9,10,98.75,-3.936,-5.778,-1.871,7.137,227.07
CHEMBL283431,decoy,0,SUCCESS,True,C25H26ClF3N4O5S,586.126,5.157,2,6,13,119.39,-4.518,-7.951,-1.757,7.247,425.04
CHEMBL284199,decoy,0,SUCCESS,True,C25H20ClF2N4O3-,497.12,3.068,0,7,5,79.81,-6.949,-8.167,-0.214,7.702,91.06
CHEMBL283790,decoy,0,SUCCESS,True,C32H20ClN5O2S,573.103,5.956,0,6,3,80.45,-3.172,-3.913,-0.346,7.636,224.98
CHEMBL283777,decoy,0,SUCCESS,True,C21H20Cl2N2O5S2,514.019,5.211,2,7,11,99.43,-4.425,-7.012,-2.801,6.322,237.02
CHEMBL283203,decoy,0,SUCCESS,True,C30H29ClN5O4+,558.19,3.052,2,6,11,105.05,-6.035,-10.092,-0.411,7.862,542.46
CHEMBL283643,decoy,0,SUCCESS,True,C28H34N2O4S,494.224,4.935,1,5,14,77.92,-5.153,-8.618,-2.233,6.261,308.64
CHEMBL283835,decoy,0,SUCCESS,True,C31H34N7O+,520.282,3.212,2,5,7,91.28,-5.372,-7.571,-1.954,7.569,212.14
CHEMBL283620,decoy,0,SUCCESS,True,C31H40N2O3+2,488.303,1.881,3,3,11,47.57,-5.851,-9.1,-1.632,8.016,326.14
CHEMBL283974,decoy,0,SUCCESS,True,C27H35O7S-,503.211,2.797,0,8,10,94.12,-2.082,-2.812,-0.652,6.496,184.65
CHEMBL283610,decoy,0,SUCCESS,True,C28H30N4O5S,534.194,5.563,1,7,11,118.54,-4.776,-6.73,2.722,6.685,354.82
CHEMBL283667,decoy,0,SUCCESS,True,C33H39NO5,529.283,5.31,2,5,13,88.16,-4.424,-6.622,-1.466,7.045,327.64
CHEMBL283394,decoy,0,SUCCESS,True,C32H28Cl2N4O3,586.154,6.989,0,5,12,77.32,-6.795,-10.371,-2.265,7.539,505.4
CHEMBL283374,decoy,0,SUCCESS,True,C26H27ClF3N2O5S-,571.129,4.855,1,6,12,107.89,-5.819,-10.241,-2.815,6.601,524.13
CHEMBL283505,decoy,0,SUCCESS,True,C30H39N2O5-,507.286,4.341,1,6,12,104.49,-6.84,-11.639,-1.544,6.747,422.59
CHEMBL283693,decoy,0,SUCCESS,True,C27H31F2N7O3+2,539.245,0.66,3,6,7,106.06,-4.533,-6.388,-0.499,5.177,322.33
CHEMBL284206,decoy,0,SUCCESS,True,C20H40N9P3,499.262,2.568,0,9,6,57.65,23.285,31.452,0.099,5.524,150.74
CHEMBL283495,decoy,0,SUCCESS,True,C36H28N8O2,604.234,6.102,0,7,9,109.47,-6.153,-9.03,0.156,7.529,440.56
CHEMBL282778,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL283437,decoy,0,SUCCESS,True,C27H37Cl2N4O6+,583.208,3.344,3,6,16,112.33,-4.18,-7.357,-1.825,6.943,526.65
CHEMBL283858,decoy,0,SUCCESS,True,C27H22NO9S-,536.102,3.688,0,10,11,109.67,-4.435,-6.509,-1.592,6.153,290.56
CHEMBL284234,decoy,0,SUCCESS,True,C31H37NO6,519.262,3.81,1,7,9,93.14,-0.461,-0.636,0.193,7.127,150.14
CHEMBL284180,decoy,0,SUCCESS,True,C29H43NO5,485.314,1.799,1,5,13,80.1,-1.014,-1.488,-0.618,5.558,228.8
CHEMBL284059,decoy,0,SUCCESS,True,C32H31N4O4+,535.234,2.439,2,4,4,79.31,-4.313,-5.321,0.084,7.313,267.34
CHEMBL284229,decoy,0,SUCCESS,True,C28H24O9,504.142,3.971,1,9,8,109.75,-1.744,-2.407,-0.55,6.619,203.89
CHEMBL282486,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL282452,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL284166,decoy,0,SUCCESS,True,C27H29N3O6,491.206,3.936,2,6,9,127.64,-6.112,-9.685,-0.586,7.707,279.8
CHEMBL283894,decoy,0,SUCCESS,True,C31H31N5O7,585.222,4.195,1,7,8,133.99,-6.246,-9.167,1.548,7.598,352.23
CHEMBL284509,decoy,0,SUCCESS,True,C23H26N3OS3+,456.123,5.758,0,5,9,27.43,-4.41,-5.699,0.195,7.177,94.37
CHEMBL284225,decoy,0,SUCCESS,True,C21H17ClF5N5O3,517.094,2.615,2,5,7,100.74,-7.005,-10.28,-1.144,7.55,250.77
CHEMBL284428,decoy,0,SUCCESS,True,C26H24F3N7O,507.199,4.64,2,7,6,100.27,-6.182,-7.628,-0.192,7.781,148.69
CHEMBL284024,decoy,0,SUCCESS,True,C27H30F2N8O5+2,584.23,0.568,3,8,8,149.2,-4.524,-6.639,0.198,7.962,348.63
CHEMBL283676,decoy,0,SUCCESS,True,C35H36F3N4O5+,649.263,4.976,1,5,6,87.74,-5.386,-7.59,0.284,7.282,491.39
CHEMBL284410,decoy,0,SUCCESS,True,C28H32N4O5S,536.209,3.827,0,5,6,92.16,-6.591,-8.518,-0.657,7.655,195.96
CHEMBL284291,decoy,0,SUCCESS,True,C29H29NO9,535.184,4.243,2,10,12,113.94,-4.313,-6.203,-0.508,6.852,233.85
CHEMBL283810,decoy,0,SUCCESS,True,C33H39NO6,545.278,5.674,2,6,13,97.39,-3.671,-5.925,-1.942,6.514,435.03
CHEMBL284425,decoy,0,SUCCESS,True,C23H25ClN3O5S-,490.121,4.23,1,6,12,113.35,-5.969,-9.458,-2.168,6.885,191.97
CHEMBL28359,decoy,0,SUCCESS,True,C36H35N7O2S,629.257,7.419,0,7,14,96.58,-5.002,-8.219,-0.647,7.599,560.63
CHEMBL284336,decoy,0,SUCCESS,True,C28H39Cl2NO5,539.221,2.542,1,5,12,80.1,-1.148,-1.685,-0.784,7.451,237.47
CHEMBL283722,decoy,0,SUCCESS,True,C33H41N3O3S+2,559.286,3.223,3,5,12,62.59,-3.961,-6.393,-1.552,8.501,491.81
CHEMBL284503,decoy,0,SUCCESS,True,C28H26O8,490.163,5.361,0,8,14,81.68,-4.496,-6.861,-0.435,6.398,188.3
CHEMBL284620,decoy,0,SUCCESS,True,C19H10F5NO6-2,443.044,1.414,0,7,6,119.45,-6.309,-8.522,-0.11,5.965,82.42
CHEMBL283992,decoy,0,SUCCESS,True,C28H36N3O5-,494.266,3.701,1,6,12,115.57,-6.218,-10.581,-2.007,7.582,407.95
CHEMBL284184,decoy,0,SUCCESS,True,C25H25ClN3O5-,482.149,3.259,1,6,12,113.35,-4.707,-7.734,-2.872,7.489,364.06
CHEMBL282802,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL283923,decoy,0,SUCCESS,True,C30H33N2O5-,501.239,3.614,1,6,12,104.49,-6.809,-11.585,-2.658,7.651,448.35
CHEMBL284326,decoy,0,SUCCESS,True,C24H29ClFN7O2+2,501.204,0.867,4,6,10,97.91,-5.659,-8.305,-2.347,7.569,285.57
CHEMBL284654,decoy,0,SUCCESS,True,C26H19Cl2NO5,495.064,5.02,2,5,4,84.86,0.495,0.596,0.621,7.215,106.27
CHEMBL284197,decoy,0,SUCCESS,True,C26H37N2O3S2+,489.224,3.599,1,4,14,51.05,-5.254,-9.554,-1.771,7.24,391.95
CHEMBL28400,decoy,0,SUCCESS,True,C30H26N3O7-,540.178,1.472,2,7,12,144.94,-6.294,-10.342,-2.121,7.554,452.18
CHEMBL284508,decoy,0,SUCCESS,True,C25H24ClN5O3S2,541.101,4.483,1,6,7,89.61,-6.253,-8.811,-0.124,7.788,227.55
CHEMBL28425,decoy,0,SUCCESS,True,C25H24ClN4O7-,527.134,3.167,1,8,13,156.49,-5.278,-8.981,-1.479,6.247,334.98
CHEMBL284140,decoy,0,SUCCESS,True,C31H31N9O2,561.26,3.909,1,7,11,125.26,-7.054,-10.352,-1.959,7.814,434.63
CHEMBL283788,decoy,0,SUCCESS,True,C33H43F2N2O4+,569.319,1.514,2,4,13,75.31,-6.246,-10.994,-1.242,7.736,554.81
CHEMBL284516,decoy,0,SUCCESS,True,C29H33NO6S,523.203,4.955,2,7,11,97.39,-5.182,-7.757,-0.788,7.362,241.15
CHEMBL283466,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL284541,decoy,0,SUCCESS,True,C23H20F2N5O5S+,516.115,1.852,4,5,9,184.01,-6.782,-9.756,-0.735,7.516,237.08
CHEMBL28467,decoy,0,SUCCESS,True,C28H27NO8,505.174,4.235,2,9,10,104.71,-0.393,-0.542,0.182,6.093,189.69
CHEMBL284458,decoy,0,SUCCESS,True,C33H40N2O5,544.294,5.246,3,5,9,100.19,-6.016,-8.654,0.029,7.462,351.88
CHEMBL284442,decoy,0,SUCCESS,True,C30H26F3N5O6,609.184,4.05,1,7,6,125.29,-6.073,-8.559,-0.386,7.842,366.08
CHEMBL284128,decoy,0,SUCCESS,True,C30H29ClF3N3O5S,635.147,6.097,2,5,13,106.5,-5.501,-9.039,-1.675,7.736,532.91
CHEMBL284056,decoy,0,SUCCESS,True,C30H34N5O7+,576.245,2.859,2,8,11,144.88,-5.093,-8.071,0.422,7.516,568.26
CHEMBL284126,decoy,0,SUCCESS,True,C34H37N9O2,603.307,4.935,1,7,14,125.26,-6.544,-10.37,-2.392,7.742,565.59
CHEMBL284123,decoy,0,SUCCESS,True,C36H35N7O3,613.28,7.429,1,7,13,116.67,-5.333,-8.762,-1.617,7.669,595.87
CHEMBL284230,decoy,0,SUCCESS,True,C33H41NO7,563.288,5.47,3,7,15,117.62,-5.785,-9.505,-0.486,7.39,508.9
CHEMBL284422,decoy,0,SUCCESS,True,C25H38N4O5S,506.256,3.407,3,6,14,121.65,43.744,78.268,-2.025,6.982,450.39
CHEMBL284576,decoy,0,SUCCESS,True,C27H26N4O4S,502.167,3.789,3,6,11,109.42,-5.215,-7.959,-1.927,6.5,320.25
CHEMBL284656,decoy,0,SUCCESS,True,C24H24N4O5S,480.147,4.393,1,7,11,118.54,-4.691,-6.611,-0.867,6.465,275.88
CHEMBL28439,decoy,0,SUCCESS,True,C29H35N4O5S2-,583.205,2.949,2,8,11,131.53,-4.993,-7.62,-1.855,7.519,481.46
CHEMBL28405,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL284830,decoy,0,SUCCESS,True,C36H36O10,628.231,5.877,0,10,14,100.14,3.337,4.898,3.323,7.311,222.89
CHEMBL284415,decoy,0,SUCCESS,True,C30H26N3O7-,540.178,1.471,2,7,12,144.94,-6.133,-10.076,-2.078,7.323,475.36
CHEMBL284322,decoy,0,SUCCESS,True,C30H30F3N3O5S,601.186,5.444,2,5,13,106.5,-6.152,-10.108,-2.041,7.858,520.8
CHEMBL284219,decoy,0,SUCCESS,True,C32H30N3O7-,568.209,2.251,2,7,14,144.94,-6.974,-12.274,-1.567,7.641,587.27
CHEMBL284745,decoy,0,SUCCESS,True,C33H35N4O4+,551.265,2.727,2,4,8,79.31,-2.64,-3.566,-0.346,6.177,283.05
CHEMBL284918,decoy,0,SUCCESS,True,C25H23N7O3S,501.158,4.254,2,8,8,136.79,-7.083,-10.603,-1.142,8.033,218.35
CHEMBL284688,decoy,0,SUCCESS,True,C30H31N5O7,573.222,3.141,2,7,8,141.5,-5.834,-7.881,-0.18,7.485,305.14
CHEMBL284940,decoy,0,SUCCESS,True,C27H29N2O6S+,509.174,4.121,1,7,12,104.51,-3.454,-5.07,-0.66,7.631,202.03
CHEMBL284652,decoy,0,SUCCESS,True,C31H34FNO6,535.237,5.033,2,6,11,97.39,-6.08,-9.101,0.341,7.306,349.74
CHEMBL284103,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL284546,decoy,0,SUCCESS,True,C33H28N8O2,568.234,5.467,2,7,9,122.97,674.136,950.006,1.315,6.942,400.22
CHEMBL284455,decoy,0,SUCCESS,True,C35H25N7O3,591.202,6.215,3,8,8,150.45,0.959,1.407,0.386,7.924,494.98
CHEMBL284806,decoy,0,SUCCESS,True,C28H27N2O9+,535.171,2.786,2,9,10,143.2,-1.583,-2.277,-0.34,6.196,297.07
CHEMBL28451,decoy,0,SUCCESS,True,C30H27N4O6-,539.194,2.996,4,6,11,152.6,-8.087,-13.287,-1.925,7.549,454.14
