Ligand_name,Label,Is_active,Status,Converged,Formula,MW_Da,LogP,HBD,HBA,RotB,TPSA_A2,Best_affinity_kcal_mol,best_rmsd_lb,best_rmsd_ub,RF_Score_pKd,Runtime_s
CHEMBL100400,decoy,0,SUCCESS,True,C29H23F3N2O10,616.13,4.896,1,11,9,144.69,-3.756,-5.733,1.666,5.974,412.49
CHEMBL101742,decoy,0,SUCCESS,True,C30H26N2O6-2,510.18,2.157,0,8,13,124.5,-6.094,-10.013,0.127,6.879,415.72
CHEMBL101587,decoy,0,SUCCESS,True,C30H29N2O6-,513.203,3.769,0,8,15,102.83,9.42,15.477,-0.73,6.749,416.48
CHEMBL102093,decoy,0,SUCCESS,True,C28H29N3O6,503.206,4.307,2,6,12,113.72,-5.716,-8.055,-0.572,7.309,192.83
CHEMBL100972,decoy,0,SUCCESS,True,C30H41N2O5+,509.301,3.577,2,5,17,78.3,210.806,358.69,-1.624,6.454,420.64
CHEMBL10218,decoy,0,SUCCESS,True,C27H22NO7-,472.14,3.966,0,7,8,91.21,-4.853,-6.839,-0.918,6.162,181.64
CHEMBL101612,decoy,0,SUCCESS,True,C26H30BrClN4O5S+2,624.08,2.327,4,6,11,108.31,-3.42,-5.22,1.357,6.574,444.28
CHEMBL102524,decoy,0,SUCCESS,True,C23H21BrN8O,504.102,4.096,1,9,6,115.3,-3.377,-4.167,-0.907,7.704,115.76
CHEMBL10250,decoy,0,SUCCESS,True,C28H25N3O5,483.179,3.268,2,7,8,103.2,-4.791,-6.191,-0.305,7.5,128.05
CHEMBL102712,decoy,0,SUCCESS,True,C25H23BrN6O2,518.107,4.442,1,8,4,99.28,-4.575,-5.378,-1.071,7.379,100.28
CHEMBL100780,decoy,0,SUCCESS,True,C30H35N4O4+,515.265,3.142,1,6,14,87.22,-4.896,-8.33,-0.936,6.95,458.26
CHEMBL10183,decoy,0,SUCCESS,True,C34H52O9,604.361,6.037,0,9,10,86.37,97.682,120.523,0.541,6.737,311.09
CHEMBL100075,decoy,0,SUCCESS,True,C28H32N3O5S2+,554.178,4.767,1,7,15,112.46,-6.373,-10.657,-1.228,7.365,470.18
CHEMBL101282,decoy,0,SUCCESS,True,C33H50N4O3+4,550.386,-0.956,6,3,12,75.29,-6.011,-9.876,-1.385,7.718,466.18
CHEMBL101780,decoy,0,SUCCESS,True,C33H33N7O2,559.27,4.779,3,6,10,129.89,-5.025,-7.228,-0.82,7.732,372.32
CHEMBL100081,decoy,0,SUCCESS,True,C29H36N3O6S+,554.232,3.541,3,7,14,113.1,-4.272,-7.268,-2.074,5.709,491.35
CHEMBL101948,decoy,0,SUCCESS,True,C34H56O7,576.403,5.112,3,7,17,105.45,0.269,0.418,-0.739,7.358,274.68
CHEMBL101952,decoy,0,SUCCESS,True,C28H27N7O3,509.218,4.208,1,7,11,125.52,-6.931,-10.982,-1.504,7.864,269.84
CHEMBL10279,decoy,0,SUCCESS,True,C21H16BrF3N4O3,508.036,5.934,1,5,7,76.58,-3.324,-4.296,-1.364,6.574,109.39
CHEMBL102043,decoy,0,SUCCESS,True,C26H28Cl2N4O4,530.149,4.206,0,6,8,69.06,-5.537,-7.802,-0.077,7.652,280.23
CHEMBL100100,decoy,0,SUCCESS,True,C29H42N4O5S,558.288,4.697,2,7,14,113.75,-6.342,-10.42,-1.35,7.746,531.69
CHEMBL10302,decoy,0,SUCCESS,True,C26H20NO7-,458.125,3.907,0,7,7,91.21,-2.045,-2.762,-0.52,6.346,118.11
CHEMBL103411,,0,FAILED: 3D embedding failed,,,,,,,,,,,,,
CHEMBL100271,decoy,0,SUCCESS,True,C30H48N3O4S2+,578.308,2.909,4,6,12,92.1,-5.265,-8.805,-0.086,7.499,546.67
CHEMBL103170,decoy,0,SUCCESS,True,C27H41NO6S,507.265,4.478,2,8,11,105.95,-1.43,-1.681,0.522,6.807,86.45
CHEMBL103081,decoy,0,SUCCESS,True,C32H50O6,530.361,5.382,2,6,13,93.06,4.3,5.305,0.948,7.095,98.96
CHEMBL102908,decoy,0,SUCCESS,True,C21H21BrClN5O2S,521.029,4.582,1,6,6,62.75,-4.583,-6.191,-0.757,6.879,149.52
CHEMBL100603,decoy,0,SUCCESS,True,C37H47ClN2O8,682.302,5.897,2,8,16,140.59,-0.289,-0.45,-0.289,7.03,561.33
CHEMBL100279,decoy,0,SUCCESS,True,C37H47ClN2O8,682.302,6.413,1,8,16,129.59,4.07,6.211,0.376,7.785,564.33
CHEMBL102332,decoy,0,SUCCESS,True,C28H28F6N3O5+,600.193,4.211,3,5,9,100.77,-6.665,-9.782,-0.305,7.626,287.46
CHEMBL103114,decoy,0,SUCCESS,True,C20H15Br2O10-,572.904,2.893,0,10,9,121.81,-2.668,-3.76,-0.455,6.273,121.34
CHEMBL102989,decoy,0,SUCCESS,True,C25H26BrN7O2,535.133,4.124,1,9,10,112.17,-4.234,-5.966,-1.141,7.67,152.53
CHEMBL100376,decoy,0,SUCCESS,True,C31H38NO10-,584.25,2.922,2,10,18,156.44,-4.613,-8.253,-1.572,6.623,574.19
CHEMBL100525,decoy,0,SUCCESS,True,C33H39N2O5+,543.285,3.773,2,5,15,78.3,-5.05,-8.593,-1.187,6.959,575.11
CHEMBL102481,decoy,0,SUCCESS,True,C29H32N6OS,512.236,5.242,2,6,11,100.79,-4.978,-7.451,-1.918,6.317,259.98
CHEMBL100401,decoy,0,SUCCESS,True,C31H37N3O6,547.268,2.03,2,7,15,104.6,-5.942,-10.806,-3.003,7.519,578.21
CHEMBL102882,decoy,0,SUCCESS,True,C25H25F3N3O5-,504.175,2.807,0,8,10,85.38,1.517,2.138,1.144,7.763,173.49
CHEMBL10213,decoy,0,SUCCESS,True,C25H26ClN2O6-,485.148,4.264,3,6,14,123.85,-5.161,-9.083,-3.369,6.172,343.98
CHEMBL101895,decoy,0,SUCCESS,True,C30H43N2O5+,511.317,3.428,3,5,18,81.46,-5.147,-8.908,-1.826,7.056,420.24
CHEMBL103421,decoy,0,SUCCESS,True,C34H43N5O4+2,585.33,0.518,3,6,4,79.99,54.74,61.14,0.21,6.664,67.84
CHEMBL10233,decoy,0,SUCCESS,True,C25H25Cl2N2O6-,519.11,4.917,3,6,14,123.85,-5.582,-9.824,-2.846,6.431,337.91
CHEMBL10251,decoy,0,SUCCESS,True,C27H26N5O3P,499.177,4.64,4,7,11,124.02,-8.545,-13.54,-1.302,7.819,329.63
CHEMBL101888,decoy,0,SUCCESS,True,C29H33N2O5S2+,553.183,3.272,1,5,14,85.19,-7.017,-11.94,-0.949,8.055,487.1
CHEMBL102985,decoy,0,SUCCESS,True,C32H50O6,530.361,5.382,2,6,16,96.36,-1.153,-1.624,-2.613,7.547,256.66
CHEMBL100428,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL103113,decoy,0,SUCCESS,True,C23H23Br2NO10,630.969,2.58,0,10,13,121.81,-1.144,-1.746,-0.372,5.955,247.11
CHEMBL103554,decoy,0,SUCCESS,True,C32H35N7O2,549.285,4.782,1,8,8,72.99,11.97,14.769,0.59,7.076,134.18
CHEMBL102307,decoy,0,SUCCESS,True,C30H29N2O6-,513.203,3.503,0,8,15,102.83,-6.252,-10.639,-0.383,6.766,428.52
CHEMBL10017,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL100661,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL102681,decoy,0,SUCCESS,True,C29H39N2O6+,511.28,2.861,1,6,12,70.9,-5.742,-9.099,-1.581,7.541,368.84
CHEMBL10267,decoy,0,SUCCESS,True,C26H29ClN2O6,500.171,5.687,3,6,15,110.02,-4.806,-8.739,-3.163,6.905,372.43
CHEMBL103729,decoy,0,SUCCESS,True,C25H26BrN7O2,535.133,4.125,1,9,9,112.17,-3.639,-5.128,-1.094,7.605,161.48
CHEMBL102765,decoy,0,SUCCESS,True,C22H19Cl2N3O8P-3,554.03,1.351,1,10,12,180.57,-6.661,-10.945,-1.594,7.528,357.17
CHEMBL103909,decoy,0,SUCCESS,True,C27H25BrN6O3,560.117,3.993,2,9,6,127.35,-3.068,-3.876,-1.057,7.456,165.91
CHEMBL102405,decoy,0,SUCCESS,True,C31H31N2O6-,527.219,3.811,0,8,16,102.83,-5.751,-9.785,0.499,6.455,452.48
CHEMBL102441,decoy,0,SUCCESS,True,C22H25F5N2O5S2,556.113,5.075,2,7,16,99.43,-5.895,-10.374,-1.266,7.411,447.95
CHEMBL10273,decoy,0,SUCCESS,True,C26H29N2O7-,481.198,3.619,3,7,16,133.08,-5.389,-9.8,-3.083,6.06,379.9
CHEMBL10353,decoy,0,SUCCESS,True,C23H28Cl2N3O4+,480.145,2.817,3,4,11,81.1,-6.258,-9.551,-1.293,7.551,220.24
CHEMBL103812,decoy,0,SUCCESS,True,C27H27BrN8O2,574.144,4.645,1,10,6,124.53,-2.807,-3.628,-0.582,7.382,197.57
CHEMBL10222,decoy,0,SUCCESS,True,C28H34O10,530.215,4.66,0,10,6,131.5,-4.974,-8.754,-2.273,6.336,527.85
CHEMBL10346,decoy,0,SUCCESS,True,C26H37N5O3,467.29,3.187,3,5,15,117.42,-6.433,-9.629,-0.291,7.645,234.79
CHEMBL10335,decoy,0,SUCCESS,True,C23H26N2O5S2,474.128,-0.219,2,6,9,99.97,-5.921,-9.383,-1.295,6.593,251.7
CHEMBL102094,decoy,0,SUCCESS,True,C30H35N3O6,533.253,1.64,2,7,14,104.6,-5.945,-10.463,-2.663,7.702,554.43
CHEMBL102253,decoy,0,SUCCESS,True,C31H43N6O2+3,531.343,1.437,5,4,18,122.97,-5.123,-9.316,-2.218,6.906,525.49
CHEMBL103776,decoy,0,SUCCESS,True,C31H34N6O5,570.259,4.63,1,9,9,101.52,-1.907,-2.575,1.029,7.574,214.11
CHEMBL100045,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL103478,decoy,0,SUCCESS,True,C26H28N3O4S2+,510.152,4.751,1,6,12,103.23,-5.367,-8.033,-0.723,7.33,255.38
CHEMBL102236,decoy,0,SUCCESS,True,C37H47ClN2O8,682.302,6.139,1,8,15,132.89,2.996,4.398,-0.186,7.454,562.79
CHEMBL102333,decoy,0,SUCCESS,True,C33H28N7O2+,554.23,3.492,3,6,9,98.28,-6.713,-9.852,-0.755,7.336,544.44
CHEMBL103171,decoy,0,SUCCESS,True,C30H34N5O3+,512.266,3.082,1,5,10,90.97,-4.967,-7.871,-1.6,7.787,368.61
CHEMBL10416,decoy,0,SUCCESS,True,C22H27Cl3N3O4+,502.106,3.327,3,4,14,81.1,-5.483,-9.01,-1.655,7.383,240.79
CHEMBL102504,decoy,0,SUCCESS,True,C28H38N2O5S2,546.222,6.203,2,7,17,99.43,-6.039,-10.982,-2.435,7.0,525.84
CHEMBL104441,decoy,0,SUCCESS,True,C25H23F3N3O5-,502.16,2.561,0,8,8,85.38,-0.779,-1.097,-0.641,7.458,160.58
CHEMBL10357,decoy,0,SUCCESS,True,C26H29N2O6-,465.203,3.919,3,6,15,123.85,-5.172,-9.103,-2.693,6.859,323.38
CHEMBL102797,decoy,0,SUCCESS,True,C32H33N2O6-,541.234,4.201,0,8,17,102.83,-5.143,-9.052,-0.621,6.679,490.57
