Label,Score
0,9.661
1,9.36
0,9.152
0,8.827
0,8.809
1,8.701
0,8.645
0,8.631
0,8.603
0,8.592
0,8.557
0,8.509
0,8.336
1,8.307
0,8.288
0,8.271
0,8.268
0,8.216
1,8.212
0,8.196
0,8.196
0,8.194
0,8.182
0,8.173
0,8.165
0,8.157
0,8.149
0,8.142
1,8.124
0,8.121
0,8.116
0,8.101
0,8.074
1,8.072
0,8.063
0,8.057
0,8.042
0,8.036
1,8.033
0,8.029
0,8.025
0,8.024
0,8.023
0,8.016
0,8.011
1,7.989
0,7.983
0,7.976
0,7.969
0,7.969
0,7.956
0,7.95
0,7.949
0,7.944
0,7.932
0,7.931
0,7.92
0,7.914
0,7.907
0,7.906
0,7.905
0,7.901
0,7.899
0,7.898
0,7.881
0,7.88
0,7.863
0,7.861
0,7.851
0,7.846
0,7.844
1,7.824
0,7.817
0,7.811
0,7.809
0,7.805
0,7.803
0,7.802
0,7.799
0,7.798
0,7.791
0,7.791
1,7.788
0,7.783
0,7.769
0,7.76
0,7.755
0,7.754
0,7.753
0,7.753
0,7.748
0,7.748
0,7.742
0,7.724
0,7.697
0,7.697
0,7.696
0,7.686
0,7.682
0,7.68
0,7.676
0,7.674
0,7.673
0,7.668
0,7.666
0,7.662
0,7.659
0,7.659
0,7.658
0,7.657
0,7.65
0,7.649
0,7.646
0,7.645
0,7.643
0,7.643
0,7.642
0,7.638
0,7.637
0,7.634
0,7.633
0,7.629
0,7.627
0,7.626
0,7.624
0,7.614
0,7.61
0,7.609
0,7.608
0,7.606
0,7.606
0,7.605
0,7.597
0,7.596
0,7.587
0,7.584
0,7.579
0,7.579
0,7.575
0,7.575
0,7.567
0,7.567
0,7.567
0,7.566
0,7.564
0,7.564
0,7.563
0,7.563
0,7.561
0,7.56
0,7.559
0,7.556
0,7.554
0,7.544
0,7.544
0,7.536
0,7.534
0,7.53
0,7.525
0,7.518
0,7.513
0,7.513
0,7.512
0,7.51
0,7.508
0,7.508
0,7.508
0,7.501
0,7.5
0,7.5
0,7.497
0,7.495
0,7.495
0,7.494
0,7.491
0,7.483
1,7.479
0,7.478
0,7.476
0,7.475
0,7.471
0,7.471
0,7.47
0,7.47
0,7.464
0,7.464
1,7.456
0,7.456
0,7.453
1,7.45
0,7.448
0,7.448
0,7.447
0,7.446
0,7.445
0,7.441
0,7.441
0,7.438
0,7.437
0,7.436
0,7.436
0,7.434
0,7.433
0,7.432
0,7.431
0,7.431
0,7.429
0,7.425
0,7.425
0,7.424
0,7.424
0,7.418
0,7.412
0,7.412
0,7.41
0,7.41
0,7.408
0,7.406
0,7.405
0,7.404
0,7.403
0,7.403
0,7.402
0,7.4
0,7.399
0,7.398
0,7.397
0,7.396
0,7.394
0,7.391
0,7.39
0,7.39
0,7.39
0,7.385
0,7.384
0,7.38
0,7.376
0,7.376
0,7.372
0,7.37
0,7.364
0,7.363
0,7.363
0,7.358
0,7.358
0,7.357
0,7.357
0,7.357
0,7.356
0,7.353
0,7.353
0,7.35
0,7.348
0,7.346
0,7.344
0,7.344
0,7.338
0,7.336
0,7.336
0,7.336
0,7.335
0,7.334
0,7.333
0,7.332
0,7.329
0,7.328
0,7.324
0,7.32
0,7.32
0,7.319
0,7.318
0,7.317
0,7.316
0,7.314
0,7.314
0,7.314
0,7.312
0,7.309
0,7.309
0,7.308
0,7.307
0,7.306
0,7.303
0,7.301
0,7.3
0,7.289
0,7.289
0,7.289
0,7.286
0,7.285
0,7.285
0,7.283
0,7.283
0,7.283
0,7.282
0,7.281
0,7.277
0,7.277
0,7.276
0,7.273
0,7.273
0,7.272
0,7.271
0,7.27
0,7.268
0,7.268
0,7.262
0,7.261
0,7.26
0,7.259
0,7.257
0,7.255
0,7.254
0,7.253
0,7.253
0,7.252
0,7.252
0,7.251
0,7.25
0,7.249
0,7.249
0,7.246
0,7.246
0,7.245
0,7.243
0,7.243
0,7.24
0,7.24
0,7.24
0,7.238
0,7.237
0,7.237
0,7.237
0,7.236
0,7.236
0,7.235
0,7.235
0,7.234
0,7.233
0,7.232
0,7.23
0,7.229
0,7.228
0,7.225
0,7.224
0,7.223
0,7.222
0,7.222
0,7.222
0,7.221
0,7.218
0,7.217
0,7.217
0,7.215
0,7.211
0,7.21
0,7.209
0,7.207
0,7.204
0,7.204
0,7.199
0,7.199
0,7.196
0,7.195
0,7.194
0,7.194
0,7.194
0,7.192
1,7.19
0,7.186
0,7.186
0,7.186
0,7.184
0,7.183
0,7.182
0,7.182
0,7.181
0,7.179
0,7.176
0,7.176
0,7.174
0,7.171
0,7.171
0,7.17
0,7.17
0,7.169
0,7.167
0,7.166
0,7.164
0,7.163
0,7.162
0,7.161
0,7.16
1,7.158
0,7.158
0,7.158
0,7.157
0,7.157
