molecule_chembl_id,smiles,pIC50,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL4867851,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,9.221848749616356,16.723925855064252,16.723925855064252,0.0190505974551096,-0.7039244509532205,0.3261658917415997,22.76744186046512,582.6550000000004,550.3990000000003,582.2554807040001,220,0,0.3186209651198606,-0.5079193957517415,0.5079193957517415,0.3186209651198606,1.0930232558139534,1.8604651162790695,2.604651162790698,19.14362595971069,9.952693428229049,2.44843830436659,-2.3437600253321307,2.4100687836469605,-2.5112562316283173,6.025647985411582,0.1075426276686882,3.691393395895477,1.2834955600417963,1801.738787519744,29.293953493138048,23.744435556051087,23.744435556051087,20.91978519959609,15.096466101567048,15.096466101567048,12.4210422413289,12.4210422413289,9.891865666748428,9.891865666748428,7.897533199401357,7.897533199401357,-4.07,12658224797.711452,26.549552069718263,9.998188890797389,4.282507610858884,247.63412425152916,20.060088683497565,35.20210612914247,5.817220841045895,0.0,0.0,6.010464839586836,9.883888251797686,8.78083009534964,9.967957041894415,6.423349895620259,11.986801387317254,75.19976796923083,42.31971374789594,16.488600958545135,18.6242204439904,27.493236138845678,0.0,25.168633897698435,0.0,56.14753664823533,37.6858173190137,47.660205019248295,0.0,35.3611403738921,14.953561288656855,14.598692873184667,11.759976672870742,0.0,75.3668871873753,0.0,23.978225896567693,44.08838122925306,30.46231184545952,0.0,32.93275284755611,0.0,86.64,11.63444168209179,9.496942442515524,4.39041504767482,39.6364336211128,40.66709904403825,64.70395536120637,24.26546827384644,6.196843571613076,0.0,31.004999426457346,16.144191370367516,37.84476313413899,0.0,18.681091791192596,15.40758492923228,0.1358636170065372,1.5655338510272114,6.389357105751093,13.823396921739151,4.06907531657882,0.0,0.4242424242424242,43,2,8,0,4,4,0,2,2,4,2,2,8,2,10,6,5,0,4,4,0,2,6.173196199048929,8,4.757900000000004,160.21649999999968,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CHEMBL4858364,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9.397940008672036,16.725592521730917,16.725592521730917,0.0077766492399429,-0.9127458040360416,0.3190441470793393,26.40909090909091,600.6450000000003,569.3970000000003,600.246058892,226,0,0.3186209796324763,-0.5079193957517415,0.5079193957517415,0.3186209796324763,1.1363636363636365,1.9545454545454544,2.75,19.14594012815245,9.946888078282775,2.4917219121945173,-2.343268032013319,2.417207367297034,-2.5112584124761343,6.025664021955334,0.107339586699847,3.6574442118887,1.2757869421874537,1851.8721996703557,30.164196981141128,23.9926435170634,23.9926435170634,21.313632049713448,15.131180572730766,15.131180572730766,12.577862218571632,12.577862218571632,9.841645025481416,9.841645025481416,7.885296338944809,7.885296338944809,-4.14,17515287288.267086,27.41184821470371,10.210462365073402,4.340648427683167,251.79965965445535,20.060088683497565,41.37378152465276,5.817220841045895,0.0,0.0,6.010464839586836,9.883888251797686,13.17124514302446,9.967957041894415,6.423349895620259,11.986801387317254,55.81336831746624,55.28529177673452,16.488600958545135,23.014635491665217,27.493236138845678,0.0,25.168633897698435,0.0,55.89839042081961,37.6858173190137,47.660205019248295,0.0,35.3611403738921,14.953561288656855,18.98910792085949,11.759976672870742,0.0,81.53856258288559,0.0,23.978225896567693,37.667559606327046,30.46231184545952,0.0,32.93275284755611,0.0,86.64,23.34504232998543,13.887357490190343,4.39041504767482,46.09061454770717,54.72908370572426,32.22804289761661,30.46231184545952,0.0,0.0,31.004999426457346,16.144191370367516,52.16485038022444,0.0,18.08387583221437,15.23923901938759,-0.4676837322386209,1.346454352921081,6.06622229955154,10.531793436778608,2.785248411161006,0.0,0.4242424242424242,44,2,8,0,4,4,0,2,2,4,4,2,8,2,11,6,5,0,4,4,0,2,6.3610828307576535,8,4.705900000000004,160.49549999999968,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CHEMBL5977600,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4c3F)c12,8.586315363473087,16.93708449421065,16.93708449421065,0.0108403059795765,-0.752283618805673,0.2628427984609116,24.46,683.7600000000001,644.4480000000001,683.3031591679999,260,0,0.4087840815175738,-0.5079193957517415,0.5079193957517415,0.4087840815175738,1.16,1.96,2.72,19.143632035666982,9.951041652747064,2.499864985741642,-2.3513577906121905,2.435286432227038,-2.511621606720041,6.0258494825932285,0.0484118831873007,3.782645369049248,1.1843806596674198,2042.697019426627,34.73311108189346,28.0854960016684,28.0854960016684,24.134999254759364,17.16989122003367,17.16989122003367,14.187672587927995,14.187672587927995,10.879172405524734,10.879172405524734,8.522560320953891,8.522560320953891,-4.800000000000001,281934159353.57306,32.40723418622745,12.51058749302337,5.506475302120643,288.12879370886964,29.69686136814809,41.80898809365539,5.817220841045895,0.0,0.0,12.103704910525252,9.883888251797686,13.575367279421462,9.967957041894415,6.423349895620259,11.986801387317254,68.65501156331825,62.45689854239827,16.488600958545135,28.155620581862262,33.58647620978409,0.0,30.068543628548912,0.0,62.18937747738329,51.84328684296842,47.660205019248295,0.0,35.3611403738921,14.953561288656855,19.39323005725649,11.759976672870742,0.0,106.55934734226688,4.736862953800049,23.978225896567693,44.08838122925306,30.46231184545952,0.0,32.93275284755611,0.0,116.18,11.63444168209179,14.291479626587346,4.39041504767482,57.15773873566397,54.97726960591152,45.06968614346863,35.36222157630999,14.09534396535438,0.0,31.004999426457346,20.881054324167565,43.8118603153004,0.0,32.13198696352009,15.370137887691822,-0.2815173414672069,1.402019067180572,6.2192281514491645,12.589152491832149,2.848048510019863,3.3257506211398185,0.4594594594594595,50,2,11,0,4,4,1,2,2,4,4,2,10,2,13,6,7,0,4,4,0,2,8.10867077387393,8,4.824700000000004,184.1724999999996,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CHEMBL5273122,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CCO6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9.0,16.776944759385238,16.776944759385238,0.0117039609053495,-0.9213651470085316,0.2940029120454769,26.355555555555554,615.6560000000005,583.4000000000002,615.2457245439999,232,0,0.3186209783584239,-0.5079193957517415,0.5079193957517415,0.3186209783584239,1.1333333333333333,1.9777777777777776,2.7777777777777777,19.145942077194867,9.855574010101575,2.4934432058080698,-2.4845915553852187,2.428491348628917,-2.558598800222328,6.025649785839,-0.1505218692158522,3.5455807491619367,1.2730035678374194,1893.51578086863,30.92371000513497,24.660404831521102,24.660404831521102,21.77835586930336,15.474296593292252,15.474296593292252,12.841598546701103,12.841598546701103,10.130470272053342,10.130470272053342,7.906839078121066,7.906839078121066,-4.14,20820201177.78312,28.34180870902718,10.459651389960372,4.566136431618423,257.72828481475085,19.480163033291284,41.37378152465276,5.817220841045895,0.0,0.0,6.010464839586836,9.883888251797686,13.17124514302446,9.967957041894415,6.423349895620259,11.986801387317254,55.81336831746624,49.622431741364615,28.696533734041743,27.751498445465263,27.493236138845678,0.0,19.851845293692104,0.0,55.836581196433386,44.292699283526616,47.660205019248295,0.0,35.3611403738921,9.636772684650529,18.98910792085949,11.759976672870742,0.0,81.66281370008628,4.736862953800049,23.978225896567693,44.08838122925306,30.46231184545952,0.0,32.93275284755611,0.0,83.84,23.34504232998543,13.887357490190343,4.39041504767482,51.691665358690855,49.25228401194127,38.648864520542624,30.46231184545952,0.0,0.0,25.688210822451016,20.881054324167565,58.265059820887394,0.0,18.028377809313746,11.60782334938221,-0.7911474444934037,1.2769212797476193,5.442430159340922,11.14669926806386,3.3571690910909844,0.0,0.4411764705882353,45,1,8,0,4,4,0,2,2,4,3,0,8,1,11,6,5,0,4,4,1,1,6.587676419052603,8,5.524600000000005,163.08379999999963,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CHEMBL5081048,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,8.56246936830415,16.725592521730917,16.725592521730917,0.0077766492399429,-0.9127458040360416,0.3190441470793393,26.40909090909091,600.6450000000003,569.3970000000003,600.246058892,226,0,0.3186209796324763,-0.5079193957517415,0.5079193957517415,0.3186209796324763,1.1363636363636365,1.9545454545454544,2.75,19.14594012815245,9.946888078282775,2.4917219121945173,-2.343268032013319,2.417207367297034,-2.5112584124761343,6.025664021955334,0.107339586699847,3.6574442118887,1.2757869421874537,1851.8721996703557,30.164196981141128,23.9926435170634,23.9926435170634,21.313632049713448,15.131180572730766,15.131180572730766,12.577862218571632,12.577862218571632,9.841645025481416,9.841645025481416,7.885296338944809,7.885296338944809,-4.14,17515287288.267086,27.41184821470371,10.210462365073402,4.340648427683167,251.79965965445535,20.060088683497565,41.37378152465276,5.817220841045895,0.0,0.0,6.010464839586836,9.883888251797686,13.17124514302446,9.967957041894415,6.423349895620259,11.986801387317254,55.81336831746624,55.28529177673452,16.488600958545135,23.014635491665217,27.493236138845678,0.0,25.168633897698435,0.0,55.89839042081961,37.6858173190137,47.660205019248295,0.0,35.3611403738921,14.953561288656855,18.98910792085949,11.759976672870742,0.0,81.53856258288559,0.0,23.978225896567693,37.667559606327046,30.46231184545952,0.0,32.93275284755611,0.0,86.64,23.34504232998543,13.887357490190343,4.39041504767482,46.09061454770717,54.72908370572426,32.22804289761661,30.46231184545952,0.0,0.0,31.004999426457346,16.144191370367516,52.16485038022444,0.0,18.08387583221437,15.23923901938759,-0.4676837322386209,1.346454352921081,6.06622229955154,10.531793436778608,2.785248411161006,0.0,0.4242424242424242,44,2,8,0,4,4,0,2,2,4,4,2,8,2,11,6,5,0,4,4,0,0,6.3610828307576535,8,4.705900000000004,160.49549999999968,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CHEMBL5187854,C#Cc1c(F)ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,8.459506476544556,16.67385026927438,16.67385026927438,0.0071754534447914,-0.5968874139161835,0.3392922662018528,23.02380952380953,566.6560000000004,534.4000000000003,566.2605660840001,214,0,0.3186209651197263,-0.4614230231481896,0.4614230231481896,0.3186209651197263,1.0476190476190477,1.8333333333333333,2.595238095238096,19.143624609024545,9.952923640890356,2.4483204224551414,-2.343753396336823,2.403164719423287,-2.511256316728236,6.016589318469942,0.1075426388763121,3.6916182470335976,1.2699751781515347,1747.8016391486765,28.42371000513497,23.37457222974076,23.37457222974076,20.525938349478743,14.96217570129411,14.96217570129411,12.233284973383467,12.233284973383467,9.834935005523551,9.834935005523551,7.837014618048735,7.837014618048735,-3.87,9038503491.16186,25.80988305100233,9.8549220749089,4.034325472245554,242.83989049933317,14.953561288656855,29.452594295858567,5.817220841045895,0.0,0.0,6.010464839586836,9.883888251797686,8.78083009534964,9.967957041894415,6.423349895620259,30.18590259270208,63.067033832307615,42.31971374789594,16.488600958545135,13.517693049149688,27.493236138845678,0.0,25.168633897698435,0.0,56.14753664823533,37.6858173190137,53.72657208770991,0.0,29.611628540608194,14.953561288656855,14.598692873184667,6.010464839586836,0.0,70.26035979253459,0.0,23.978225896567693,44.08838122925306,36.52867891392113,0.0,32.93275284755611,0.0,66.41,11.63444168209179,4.39041504767482,4.39041504767482,28.32347029613189,46.23055053573525,64.70395536120637,6.06636706846161,24.395944776997908,6.06636706846161,31.004999426457346,16.144191370367516,37.77751960092323,0.0,18.8742874416677,5.359650994505828,0.738604355404743,1.974238381043,9.253639262666937,14.059440805104463,4.212619158684101,0.0,0.4242424242424242,42,1,7,0,4,4,0,2,2,4,2,2,7,1,9,6,5,0,4,4,0,2,6.056056815003332,8,5.052300000000004,158.5516999999997,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CHEMBL5996049,C#Cc1c(F)ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4c3F)c12,8.645365019512084,16.887008908420782,16.887008908420782,0.0302297268578386,-0.6452465817686355,0.2697497019901899,24.714285714285715,667.7610000000001,628.4490000000002,667.308244548,254,0,0.4087840815175738,-0.4614228243270892,0.4614228243270892,0.4087840815175738,1.1224489795918366,1.9387755102040816,2.7142857142857144,19.14363067918502,9.95115245295863,2.499777447232965,-2.351354157190739,2.432653166130533,-2.511621698407206,6.016793754023906,0.0484121182397824,3.782832756555591,1.1710243137918948,1988.964470271743,33.86286759389039,27.715632675358066,27.715632675358066,23.74115240464201,17.03560081976073,17.03560081976073,13.999915319982565,13.999915319982565,10.822241744299856,10.822241744299856,8.462041739601268,8.462041739601268,-4.6000000000000005,201310526001.55563,31.65455343759935,12.376003908406242,5.490153044956956,283.3345599566737,24.590333973307384,36.05947626037148,5.817220841045895,0.0,0.0,12.103704910525252,9.883888251797686,13.575367279421462,9.967957041894415,6.423349895620259,30.18590259270208,56.52227742639504,62.45689854239827,16.488600958545135,23.04909318702156,33.58647620978409,0.0,30.068543628548912,0.0,62.18937747738329,51.84328684296842,53.72657208770991,0.0,29.611628540608194,14.953561288656855,19.39323005725649,6.010464839586836,0.0,101.45281994742616,4.736862953800049,23.978225896567693,44.08838122925306,36.52867891392113,0.0,32.93275284755611,0.0,95.95,11.63444168209179,9.184952231746642,4.39041504767482,40.458551196218274,52.83743250024816,58.15919895529379,10.966276799312087,38.49128874235229,6.06636706846161,31.004999426457346,20.881054324167565,43.75290092560317,0.0,32.33213506817948,5.245173830762799,0.3212233969309981,1.838700668220548,9.086219037893192,12.838888524851438,2.988904874767337,3.345853672791039,0.4594594594594595,49,1,10,0,4,4,1,2,2,4,4,2,9,1,12,6,7,0,4,4,0,2,7.995038307399669,8,5.119100000000004,182.50769999999957,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CHEMBL4863339,C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,9.522878745280336,16.717123133975818,16.717123133975818,0.007959984555472,-0.5839320095322076,0.3399534533776934,23.0,564.6650000000004,531.4010000000003,564.2649025160001,214,0,0.3186209651198605,-0.507919395916175,0.507919395916175,0.3186209651198605,1.119047619047619,1.9047619047619049,2.6666666666666665,19.142257771329685,9.952908138307889,2.4483059307074866,-2.3437574004399733,2.407514177100143,-2.51125612488099,6.024276416208672,0.1075426283420683,3.6842998494885113,1.274297014075446,1747.8016391486765,28.42371000513497,23.443821352231488,23.443821352231488,20.509101597073137,14.990817198395767,14.990817198395767,12.30422983498588,12.30422983498588,9.812995109075755,9.812995109075755,7.863931442566294,7.863931442566294,-4.0,8703424758.209078,25.68987654320988,9.786122448979592,4.077292899408284,243.4685888486029,20.060088683497565,29.384885288096577,5.817220841045895,0.0,0.0,6.010464839586836,9.883888251797686,4.39041504767482,9.967957041894415,6.423349895620259,18.053168455778863,75.19976796923083,47.88316523959293,10.92514946684814,14.233805396315574,27.493236138845678,0.0,25.168633897698435,0.0,56.14753664823533,37.6858173190137,47.909351246664016,0.0,35.3611403738921,14.953561288656855,10.208277825509848,11.759976672870742,0.0,75.3668871873753,0.0,18.1610050555218,44.08838122925306,36.52867891392113,0.0,32.93275284755611,0.0,86.64,5.817220841045895,5.106527394840706,4.39041504767482,28.509530637718804,51.79400202743224,64.70395536120637,6.06636706846161,12.263210640074686,18.19910120538483,31.004999426457346,16.144191370367516,23.08728306793716,0.0,18.943275692540876,16.122398309420355,1.2811082058019505,2.778841439530784,9.557838547675413,14.228650799424347,4.250603937669129,0.0,0.4242424242424242,42,2,8,0,4,4,0,2,2,4,2,2,8,2,9,6,5,0,4,4,0,2,5.985816132167153,8,4.618800000000004,160.25849999999966,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CHEMBL4876040,C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9.397940008672036,16.718789800642483,16.718789800642483,0.0233667473207102,-0.8848168546785209,0.3314092017878184,26.72093023255814,582.6550000000003,550.3990000000003,582.2554807040001,220,0,0.3186209796324762,-0.507919395916175,0.507919395916175,0.3186209796324762,1.162790697674419,2.0,2.813953488372093,19.144964292694564,9.946920100696238,2.491626776101524,-2.3432653419732894,2.415281824850288,-2.51125830557722,6.0242923285487855,0.107339586762241,3.650478364856853,1.266474630887566,1798.5249735630373,29.29395349313805,23.6920293132438,23.6920293132438,20.90294844719049,15.025531669559486,15.025531669559486,12.46104981222861,12.46104981222861,9.762774467808743,9.762774467808743,7.851694582109746,7.851694582109746,-4.07,12043204806.369465,26.549552069718263,9.998188890797389,4.363744681891271,247.63412425152916,20.060088683497565,35.55656068360687,5.817220841045895,0.0,0.0,6.010464839586836,9.883888251797686,8.78083009534964,9.967957041894415,6.423349895620259,18.053168455778863,55.81336831746624,60.84874326843151,10.92514946684814,18.6242204439904,27.493236138845678,0.0,25.168633897698435,0.0,55.89839042081961,37.6858173190137,47.909351246664016,0.0,35.3611403738921,14.953561288656855,14.598692873184667,11.759976672870742,0.0,81.53856258288559,0.0,18.1610050555218,37.667559606327046,36.52867891392113,0.0,32.93275284755611,0.0,86.64,11.988896236556188,9.496942442515524,4.39041504767482,35.116412602231726,58.15269809175791,45.31755570944177,6.06636706846161,24.395944776997908,6.06636706846161,31.004999426457346,16.144191370367516,37.40514809180039,0.0,18.346059733562647,15.954052399575664,0.6775608565567919,2.5870597494367478,9.208887414945243,10.937788055204544,2.966777032251315,0.0,0.4242424242424242,43,2,8,0,4,4,0,2,2,4,4,2,8,2,10,6,5,0,4,4,0,2,6.173196199048929,8,4.566800000000003,160.53749999999965,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CHEMBL5762802,C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](OC)C6)nc4c3F)c12,8.548455006504028,16.797646549953775,16.797646549953775,0.0018890451287221,-0.6029625506334557,0.3179728739104288,26.38636363636364,594.6910000000003,559.4110000000003,594.2754672,226,0,0.3186209785995812,-0.507919395916175,0.507919395916175,0.3186209785995812,1.181818181818182,2.022727272727273,2.8181818181818183,19.14225885784848,9.942512383617998,2.49080318582075,-2.343420697509876,2.4144114188962944,-2.5112594791320224,6.024303165174919,0.0997295027043527,3.699191099292949,1.2539306327206463,1815.115663623912,30.0010602743246,24.72231313069843,24.72231313069843,21.440953249651272,15.451264330182871,15.451264330182871,12.721478706033276,12.721478706033276,10.10781850281012,10.10781850281012,8.027744367110639,8.027744367110639,-4.04,20942514180.01037,27.5047181841663,10.546338464719916,4.449020194791727,254.9470761925064,24.796951637297614,29.384885288096577,5.817220841045895,0.0,0.0,6.010464839586836,9.883888251797686,4.39041504767482,9.967957041894415,6.423349895620259,18.053168455778863,62.23418994039224,61.53771918678304,17.02911585459644,18.970668350115623,27.493236138845678,0.0,25.168633897698435,0.0,55.83068141305762,44.79561486029124,47.909351246664016,0.0,35.3611403738921,14.953561288656855,10.208277825509848,11.759976672870742,0.0,88.58065111640113,4.736862953800049,18.1610050555218,37.667559606327046,36.52867891392113,0.0,32.93275284755611,0.0,95.87,5.817220841045895,5.106527394840706,4.39041504767482,34.613497025467105,51.79400202743224,58.28313373828036,6.06636706846161,25.439375249813832,12.13273413692322,31.004999426457346,20.881054324167565,28.910423931286545,0.0,18.874793251350653,16.10750505883689,1.066663662213044,2.724957977914319,9.454331613889616,12.848212030531968,3.8351849753183487,1.7612608319919596,0.4411764705882353,44,2,9,0,4,4,0,2,2,4,4,2,9,2,10,6,6,0,4,4,0,2,6.592592439703509,8,4.243700000000003,166.43849999999958,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
