assay_type,canonical_smiles,data_validity_comment,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
B,C=CC(=O)N1CC(OC[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3C(C)OC)n4CC(F)(F)F)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5822164,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,C=CC(=O)N1CC(OC[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3C(C)OC)n4CC(F)(F)F)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5822164,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,C=CC(=O)N1CC(OC[C@H](C(=O)N[C@H]2Cc3cc(cc(C(F)F)c3)-c3ccc4c(c3)c(c(-c3cccnc3C(C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5797267,>,>,IC50,nM,10000.0,CHEMBL2189121,IC50,nM,10000.0
B,C=CC(=O)N1CC(OC[C@H](C(=O)N[C@H]2Cc3cc(cc(C(F)F)c3)-c3ccc4c(c3)c(c(-c3cccnc3C(C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5797267,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,C=CC(=O)N1CC(OC[C@H](C(=O)N[C@H]2Cc3cc(cc(C(F)F)c3)-c3ccc4c(c3)c(c(-c3cccnc3C(C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5797267,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,CCn1c(-c2cccnc2C(C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@@H](COC1CN(C(=O)C#CC(C)(C)N3CCC3)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,,CHEMBL5870047,>,>,IC50,nM,10000.0,CHEMBL2189121,IC50,nM,10000.0
B,CCn1c(-c2cccnc2C(C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@@H](COC1CN(C(=O)C#CC(C)(C)N3CCC3)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,,CHEMBL5870047,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
B,CCn1c(-c2cccnc2C(C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@@H](COC1CN(C(=O)C#CC(C)(C)N3CCC3)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,,CHEMBL5870047,=,=,k_off,s-1,,CHEMBL2189121,koff,s-1,
B,C=CC(=O)C1CC[C@H](C(=O)C(C)[C@H](C(=O)N[C@H]2Cc3nc(cs3)-c3ccc4c(c3)c(c(-c3cccnc3C(C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5788433,=,=,IC50,nM,5500.0,CHEMBL2189121,IC50,nM,5500.0
B,C=CC(=O)C1CC[C@H](C(=O)C(C)[C@H](C(=O)N[C@H]2Cc3nc(cs3)-c3ccc4c(c3)c(c(-c3cccnc3C(C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,,CHEMBL5788433,=,=,kon,,,CHEMBL2189121,kon,M-1-s-1,
